bigram,n,star
customer service,1136,2
2 stars,173,2
10 minutes,133,2
front desk,133,2
20 minutes,117,2
15 minutes,100,2
parking lot,100,2
30 minutes,99,2
home depot,99,2
las vegas,87,2
ice cream,76,2
2 weeks,67,2
credit card,64,2
weeks ago,63,2
1 2,61,2
sales associate,60,2
food court,59,2
poor customer,59,2
5 minutes,58,2
phone call,57,2
45 minutes,55,2
multiple times,54,2
5 stars,52,2
grocery store,51,2
soft serve,51,2
sales person,50,2
1 star,49,2
eye exam,49,2
gift card,49,2
3 times,48,2
return policy,48,2
store manager,47,2
3 weeks,46,2
entire time,43,2
shopping experience,42,2
eye contact,41,2
months ago,40,2
2 3,39,2
2 star,38,2
cereal milk,38,2
nthe store,38,2
sales people,38,2
sales rep,38,2
store credit,37,2
wal mart,37,2
super nice,36,2
2 days,35,2
bad experience,35,2
crack pie,35,2
2 months,34,2
3 days,34,2
days ago,34,2
star rating,34,2
2 hours,33,2
5 star,33,2
40 minutes,31,2
phone calls,31,2
apple store,30,2
cash register,29,2
terrible customer,29,2
cell phone,28,2
3 4,27,2
bad customer,27,2
sales staff,27,2
24 hours,26,2
debit card,26,2
extremely rude,26,2
sales associates,26,2
service desk,25,2
3 people,24,2
6 months,24,2
empty handed,24,2
horrible customer,24,2
poor service,24,2
resort fee,24,2
service skills,24,2
star review,24,2
story short,24,2
10 mins,23,2
pretty disappointed,23,2
price match,23,2
1 hour,22,2
4 times,22,2
bad day,22,2
couple days,22,2
couple weeks,22,2
feel bad,22,2
milk bar,22,2
single time,22,2
thrift store,22,2
10 15,21,2
milk soft,21,2
screen protector,21,2
sim cards,21,2
wait time,21,2
3 hours,20,2
30 days,20,2
4 weeks,20,2
decent selection,20,2
double check,20,2
customer service,7825,1
home depot,728,1
worst customer,725,1
credit card,644,1
30 minutes,551,1
horrible customer,534,1
store manager,520,1
20 minutes,510,1
2 weeks,498,1
10 minutes,482,1
poor customer,449,1
15 minutes,445,1
terrible customer,435,1
las vegas,425,1
front desk,422,1
worst experience,382,1
phone call,367,1
2 hours,342,1
extremely rude,329,1
sales person,318,1
1 star,313,1
3 times,310,1
multiple times,307,1
3 weeks,306,1
0 stars,301,1
phone calls,299,1
gift card,297,1
5 minutes,290,1
2 days,283,1
store credit,281,1
weeks ago,280,1
1 2,276,1
return policy,273,1
horrible experience,266,1
bad experience,263,1
parking lot,259,1
months ago,258,1
45 minutes,254,1
3 days,252,1
buyer beware,246,1
bad customer,230,1
sales associate,226,1
2 months,225,1
horrible service,219,1
3 months,206,1
sales rep,196,1
3 hours,191,1
service skills,191,1
living spaces,187,1
days ago,185,1
terrible experience,185,1
terrible service,185,1
6 months,181,1
ni called,177,1
sales people,176,1
apple store,172,1
story short,172,1
cell phone,168,1
poor service,166,1
10 days,164,1
worst service,163,1
30 days,157,1
6 weeks,156,1
called customer,155,1
24 hours,154,1
eye contact,150,1
delivery date,149,1
entire time,146,1
business days,144,1
4 days,142,1
horrible horrible,142,1
negative stars,139,1
price match,139,1
absolute worst,137,1
insurance company,136,1
5 days,133,1
poor quality,132,1
4 times,131,1
warranty company,128,1
restocking fee,125,1
2 3,123,1
1 hour,122,1
4 hours,122,1
month ago,122,1
screen protector,121,1
40 minutes,120,1
security guard,120,1
4 months,119,1
front door,118,1
bad service,117,1
direct tv,117,1
loyal customer,117,1
corporate office,115,1
30 min,114,1
costumer service,113,1
service experience,112,1
service rep,112,1
