bigram,n,year,star,pec
customer service,206,2018,2,0.07811907470610542
front desk,187,2018,2,0.07091391733029959
2 stars,96,2018,2,0.03640500568828214
20 minutes,67,2018,2,0.02540766021994691
10 minutes,65,2018,2,0.02464922260144103
15 minutes,60,2018,2,0.022753128555176336
30 minutes,57,2018,2,0.02161547212741752
birthday party,55,2018,2,0.020857034508911642
2 hours,50,2018,2,0.018960940462646948
bowling alley,48,2018,2,0.01820250284414107
parking lot,46,2018,2,0.017444065225635193
las vegas,45,2018,2,0.017064846416382253
dog park,41,2018,2,0.015547971179370497
personal training,40,2018,2,0.015168752370117557
1 2,36,2018,2,0.013651877133105802
top golf,36,2018,2,0.013651877133105802
la fitness,35,2018,2,0.013272658323852863
circus circus,34,2018,2,0.012893439514599925
pro shop,34,2018,2,0.012893439514599925
45 minutes,31,2018,2,0.011755783086841108
personal trainer,30,2018,2,0.011376564277588168
5 stars,29,2018,2,0.010997345468335229
5 minutes,28,2018,2,0.01061812665908229
tee time,28,2018,2,0.01061812665908229
5 star,27,2018,2,0.010238907849829351
arcade games,25,2018,2,0.009480470231323474
entire time,25,2018,2,0.009480470231323474
credit card,24,2018,2,0.009101251422070534
game master,24,2018,2,0.009101251422070534
laser tag,24,2018,2,0.009101251422070534
multiple times,23,2018,2,0.008722032612817596
star review,22,2018,2,0.008342813803564657
3 times,21,2018,2,0.007963594994311717
planet fitness,21,2018,2,0.007963594994311717
1 star,20,2018,2,0.0075843761850587785
2 star,20,2018,2,0.0075843761850587785
half hour,20,2018,2,0.0075843761850587785
wave pool,20,2018,2,0.0075843761850587785
30 min,19,2018,2,0.00720515737580584
air conditioning,19,2018,2,0.00720515737580584
free weights,19,2018,2,0.00720515737580584
hour wait,19,2018,2,0.00720515737580584
star rating,19,2018,2,0.00720515737580584
water park,19,2018,2,0.00720515737580584
20 mins,18,2018,2,0.006825938566552901
40 minutes,18,2018,2,0.006825938566552901
poor customer,18,2018,2,0.006825938566552901
pretty cool,18,2018,2,0.006825938566552901
security guard,18,2018,2,0.006825938566552901
snack bar,18,2018,2,0.006825938566552901
day pass,17,2018,2,0.006446719757299962
driving range,17,2018,2,0.006446719757299962
months ago,17,2018,2,0.006446719757299962
saturday night,17,2018,2,0.006446719757299962
training session,17,2018,2,0.006446719757299962
2 3,16,2018,2,0.006067500948047023
3 4,16,2018,2,0.006067500948047023
3 months,16,2018,2,0.006067500948047023
cardio machines,16,2018,2,0.006067500948047023
hot tub,16,2018,2,0.006067500948047023
ice cream,16,2018,2,0.006067500948047023
mini golf,16,2018,2,0.006067500948047023
toilet paper,16,2018,2,0.006067500948047023
10 15,15,2018,2,0.005688282138794084
30 days,15,2018,2,0.005688282138794084
bad experience,15,2018,2,0.005688282138794084
front door,15,2018,2,0.005688282138794084
hot water,15,2018,2,0.005688282138794084
phone call,15,2018,2,0.005688282138794084
1 hour,14,2018,2,0.005309063329541145
2 days,14,2018,2,0.005309063329541145
3 days,14,2018,2,0.005309063329541145
3 hours,14,2018,2,0.005309063329541145
cart path,14,2018,2,0.005309063329541145
desk staff,14,2018,2,0.005309063329541145
hard time,14,2018,2,0.005309063329541145
nthe staff,14,2018,2,0.005309063329541145
resort fee,14,2018,2,0.005309063329541145
season passes,14,2018,2,0.005309063329541145
super nice,14,2018,2,0.005309063329541145
wait times,14,2018,2,0.005309063329541145
zip line,14,2018,2,0.005309063329541145
2 hour,13,2018,2,0.004929844520288207
2 people,13,2018,2,0.004929844520288207
4 people,13,2018,2,0.004929844520288207
bounce house,13,2018,2,0.004929844520288207
cell phone,13,2018,2,0.004929844520288207
highly recommend,13,2018,2,0.004929844520288207
paper towels,13,2018,2,0.004929844520288207
pay extra,13,2018,2,0.004929844520288207
personal trainers,13,2018,2,0.004929844520288207
tee boxes,13,2018,2,0.004929844520288207
video games,13,2018,2,0.004929844520288207
wait time,13,2018,2,0.004929844520288207
water fountain,13,2018,2,0.004929844520288207
women's locker,13,2018,2,0.004929844520288207
1 1,12,2018,2,0.004550625711035267
2 months,12,2018,2,0.004550625711035267
24 hours,12,2018,2,0.004550625711035267
25 minutes,12,2018,2,0.004550625711035267
customer service,925,2017,1,0.13480034975225882
