bigram,n,year,star,pec
las vegas,1592,2015,5,0.10646692971310105
highly recommend,1157,2015,5,0.07737577743596602
customer service,610,2015,5,0.04079448940012038
live music,414,2015,5,0.02768675182237678
happy hour,362,2015,5,0.02420918879154685
5 stars,323,2015,5,0.021601016518424398
front desk,316,2015,5,0.02113288303350498
top notch,305,2015,5,0.02039724470006019
friendly staff,295,2015,5,0.01972848257874674
super friendly,239,2015,5,0.015983414699391428
movie theater,224,2015,5,0.014980271517421253
5 star,204,2015,5,0.013642747274794356
cirque du,191,2015,5,0.012773356517086873
love love,191,2015,5,0.012773356517086873
date night,181,2015,5,0.012104594395773424
du soleil,172,2015,5,0.01150270848659132
gift shop,171,2015,5,0.011435832274459974
bad seat,168,2015,5,0.01123520363806594
highly recommended,163,2015,5,0.010900822577409215
ice cream,147,2015,5,0.009830803183307698
absolutely love,144,2015,5,0.009630174546913662
super nice,144,2015,5,0.009630174546913662
30 minutes,143,2015,5,0.009563298334782318
birthday party,138,2015,5,0.009228917274125593
pleasantly surprised,137,2015,5,0.00916204106199425
dance floor,136,2015,5,0.009095164849862903
friday night,136,2015,5,0.009095164849862903
vegas strip,128,2015,5,0.008560155152812145
saturday night,125,2015,5,0.00835952651641811
totally worth,125,2015,5,0.00835952651641811
nthe staff,124,2015,5,0.008292650304286765
ni love,120,2015,5,0.008025145455761386
prime rib,118,2015,5,0.007891393031498696
2 hours,116,2015,5,0.007757640607236006
absolutely loved,115,2015,5,0.007690764395104661
beer selection,115,2015,5,0.007690764395104661
absolutely amazing,114,2015,5,0.007623888182973317
pretty cool,111,2015,5,0.007423259546579282
hidden gem,110,2015,5,0.0073563833344479366
front row,106,2015,5,0.007088878485922557
excellent service,105,2015,5,0.007022002273791212
food court,105,2015,5,0.007022002273791212
mandalay bay,105,2015,5,0.007022002273791212
fremont street,104,2015,5,0.006955126061659867
coffee shop,102,2015,5,0.006821373637397178
michael jackson,102,2015,5,0.006821373637397178
amazing time,99,2015,5,0.006620745001003143
board games,99,2015,5,0.006620745001003143
entire time,99,2015,5,0.006620745001003143
15 minutes,98,2015,5,0.006553868788871799
family friendly,98,2015,5,0.006553868788871799
hip hop,98,2015,5,0.006553868788871799
hard rock,96,2015,5,0.0064201163646091085
hot chocolate,96,2015,5,0.0064201163646091085
red rock,94,2015,5,0.0062863639403464185
super fun,94,2015,5,0.0062863639403464185
1 2,93,2015,5,0.006219487728215074
fun time,93,2015,5,0.006219487728215074
nthe food,93,2015,5,0.006219487728215074
parking lot,91,2015,5,0.006085735303952384
amazing experience,90,2015,5,0.006018859091821039
tour guide,90,2015,5,0.006018859091821039
bachelorette party,89,2015,5,0.005951982879689694
wait staff,87,2015,5,0.005818230455427005
reclining seats,85,2015,5,0.005684478031164315
video games,85,2015,5,0.005684478031164315
walking distance,85,2015,5,0.005684478031164315
hotel casino,83,2015,5,0.005550725606901625
live band,83,2015,5,0.005550725606901625
pool party,83,2015,5,0.005550725606901625
bottle service,81,2015,5,0.0054169731826389355
fried chicken,81,2015,5,0.0054169731826389355
vegas trip,81,2015,5,0.0054169731826389355
nice touch,80,2015,5,0.0053500969705075905
3 hours,79,2015,5,0.005283220758376245
arcade games,78,2015,5,0.0052163445462449
audience participation,76,2015,5,0.005082592121982211
delicious food,76,2015,5,0.005082592121982211
resort fee,76,2015,5,0.005082592121982211
hot dogs,75,2015,5,0.005015715909850866
planet hollywood,75,2015,5,0.005015715909850866
craft beer,74,2015,5,0.004948839697719521
favorite hotel,74,2015,5,0.004948839697719521
casino floor,73,2015,5,0.004881963485588176
dive bar,73,2015,5,0.004881963485588176
love coming,72,2015,5,0.004815087273456831
ni highly,72,2015,5,0.004815087273456831
past weekend,72,2015,5,0.004815087273456831
wonderful experience,72,2015,5,0.004815087273456831
10 minutes,71,2015,5,0.004748211061325487
guest list,71,2015,5,0.004748211061325487
bowling alley,70,2015,5,0.004681334849194142
late night,70,2015,5,0.004681334849194142
sound system,70,2015,5,0.004681334849194142
friendly service,69,2015,5,0.004614458637062797
beautiful hotel,68,2015,5,0.004547582424931452
half hour,68,2015,5,0.004547582424931452
slot machines,68,2015,5,0.004547582424931452
amazing food,67,2015,5,0.004480706212800107
awesome experience,67,2015,5,0.004480706212800107
las vegas,360,2018,3,0.05598755832037325
front desk,341,2018,3,0.053032659409020216
3 stars,230,2018,3,0.03576982892690513
customer service,216,2018,3,0.03359253499222395
resort fee,216,2018,3,0.03359253499222395
30 minutes,139,2018,3,0.02161741835147745
happy hour,132,2018,3,0.02052877138413686
5 stars,116,2018,3,0.018040435458786936
20 minutes,103,2018,3,0.016018662519440126
10 minutes,100,2018,3,0.015552099533437015
15 minutes,98,2018,3,0.015241057542768274
parking lot,97,2018,3,0.015085536547433904
pretty cool,97,2018,3,0.015085536547433904
5 star,94,2018,3,0.014618973561430793
live music,93,2018,3,0.014463452566096423
food court,91,2018,3,0.014152410575427682
movie theater,91,2018,3,0.014152410575427682
1 2,82,2018,3,0.01275272161741835
nthe food,79,2018,3,0.012286158631415241
saturday night,78,2018,3,0.012130637636080872
casino floor,75,2018,3,0.01166407465007776
fremont street,75,2018,3,0.01166407465007776
food options,73,2018,3,0.01135303265940902
resort fees,73,2018,3,0.01135303265940902
parking garage,71,2018,3,0.01104199066874028
2 hours,70,2018,3,0.01088646967340591
credit card,69,2018,3,0.01073094867807154
ice cream,68,2018,3,0.010575427682737169
coffee maker,66,2018,3,0.01026438569206843
gift shop,65,2018,3,0.01010886469673406
mandalay bay,62,2018,3,0.009642301710730949
free parking,61,2018,3,0.009486780715396579
arcade games,59,2018,3,0.009175738724727838
mini fridge,57,2018,3,0.008864696734059098
prime rib,56,2018,3,0.008709175738724729
walking distance,55,2018,3,0.008553654743390357
vegas strip,53,2018,3,0.008242612752721618
3 star,52,2018,3,0.008087091757387248
dance floor,52,2018,3,0.008087091757387248
planet hollywood,51,2018,3,0.007931570762052876
monte carlo,50,2018,3,0.007776049766718507
4 stars,49,2018,3,0.007620528771384137
highly recommend,49,2018,3,0.007620528771384137
nthe casino,49,2018,3,0.007620528771384137
star rating,49,2018,3,0.007620528771384137
circus circus,48,2018,3,0.007465007776049767
friday night,48,2018,3,0.007465007776049767
park mgm,48,2018,3,0.007465007776049767
du soleil,47,2018,3,0.007309486780715396
fried chicken,47,2018,3,0.007309486780715396
tickets online,47,2018,3,0.007309486780715396
cirque du,46,2018,3,0.007153965785381027
reclining seats,46,2018,3,0.007153965785381027
slot machines,44,2018,3,0.006842923794712286
pretty decent,43,2018,3,0.006687402799377916
5 minutes,42,2018,3,0.006531881804043546
friendly staff,42,2018,3,0.006531881804043546
hotel casino,42,2018,3,0.006531881804043546
pretty nice,42,2018,3,0.006531881804043546
45 minutes,41,2018,3,0.006376360808709175
nthe hotel,41,2018,3,0.006376360808709175
2 stars,40,2018,3,0.006220839813374806
box office,40,2018,3,0.006220839813374806
1 star,38,2018,3,0.005909797822706065
3 times,38,2018,3,0.005909797822706065
birthday party,38,2018,3,0.005909797822706065
convention center,38,2018,3,0.005909797822706065
nthe staff,38,2018,3,0.005909797822706065
strip view,38,2018,3,0.005909797822706065
wait staff,38,2018,3,0.005909797822706065
1 hour,37,2018,3,0.0057542768273716955
family friendly,37,2018,3,0.0057542768273716955
