bigram,n,year,star,pec
oil change,501,2016,2,0.12572145545796737
car wash,363,2016,2,0.09109159347553325
customer service,312,2016,2,0.07829360100376412
service department,141,2016,2,0.03538268506900878
2 stars,100,2016,2,0.025094102885821833
2 hours,73,2016,2,0.01831869510664994
30 minutes,65,2016,2,0.01631116687578419
20 minutes,59,2016,2,0.014805520702634882
15 minutes,57,2016,2,0.014303638644918444
45 minutes,56,2016,2,0.014052697616060227
test drive,55,2016,2,0.013801756587202008
tire rotation,54,2016,2,0.013550815558343789
10 minutes,51,2016,2,0.012797992471769134
credit card,49,2016,2,0.012296110414052697
las vegas,48,2016,2,0.01204516938519448
3 hours,47,2016,2,0.011794228356336261
engine light,47,2016,2,0.011794228356336261
check engine,46,2016,2,0.011543287327478042
gas station,46,2016,2,0.011543287327478042
parking lot,46,2016,2,0.011543287327478042
sales person,46,2016,2,0.011543287327478042
2 days,41,2016,2,0.010288582183186951
service manager,40,2016,2,0.010037641154328732
discount tire,39,2016,2,0.009786700125470515
front desk,38,2016,2,0.009535759096612296
car washes,36,2016,2,0.00903387703889586
insurance company,34,2016,2,0.008531994981179424
air filter,33,2016,2,0.008281053952321205
weeks ago,33,2016,2,0.008281053952321205
months ago,32,2016,2,0.008030112923462986
1 2,30,2016,2,0.0075282308657465494
2 weeks,30,2016,2,0.0075282308657465494
floor mats,29,2016,2,0.007277289836888331
jiffy lube,28,2016,2,0.007026348808030113
phone call,28,2016,2,0.007026348808030113
water spots,28,2016,2,0.007026348808030113
sales manager,27,2016,2,0.006775407779171894
synthetic oil,27,2016,2,0.006775407779171894
bad experience,26,2016,2,0.006524466750313676
service advisor,26,2016,2,0.006524466750313676
3 days,25,2016,2,0.006273525721455458
4 hours,25,2016,2,0.006273525721455458
extended warranty,25,2016,2,0.006273525721455458
rental car,25,2016,2,0.006273525721455458
1 star,24,2016,2,0.00602258469259724
3 times,24,2016,2,0.00602258469259724
5 minutes,24,2016,2,0.00602258469259724
poor customer,24,2016,2,0.00602258469259724
sales guy,24,2016,2,0.00602258469259724
1 hour,23,2016,2,0.005771643663739021
finance department,23,2016,2,0.005771643663739021
phone calls,23,2016,2,0.005771643663739021
tire pressure,23,2016,2,0.005771643663739021
3 weeks,22,2016,2,0.005520702634880803
oil changed,22,2016,2,0.005520702634880803
star review,22,2016,2,0.005520702634880803
finance guy,21,2016,2,0.005269761606022585
multiple times,21,2016,2,0.005269761606022585
story short,21,2016,2,0.005269761606022585
days ago,20,2016,2,0.005018820577164366
pep boys,20,2016,2,0.005018820577164366
sam's club,20,2016,2,0.005018820577164366
5 stars,19,2016,2,0.004767879548306148
basic wash,19,2016,2,0.004767879548306148
car washed,19,2016,2,0.004767879548306148
fuel pump,19,2016,2,0.004767879548306148
smog check,19,2016,2,0.004767879548306148
spare tire,19,2016,2,0.004767879548306148
2 3,18,2016,2,0.00451693851944793
body shop,18,2016,2,0.00451693851944793
ni called,18,2016,2,0.00451693851944793
service dept,18,2016,2,0.00451693851944793
steering wheel,18,2016,2,0.00451693851944793
2 star,17,2016,2,0.004265997490589712
bottom line,17,2016,2,0.004265997490589712
free oil,17,2016,2,0.004265997490589712
sales people,17,2016,2,0.004265997490589712
service center,17,2016,2,0.004265997490589712
service rep,17,2016,2,0.004265997490589712
simple oil,17,2016,2,0.004265997490589712
2 months,16,2016,2,0.004015056461731493
bad day,16,2016,2,0.004015056461731493
finance manager,16,2016,2,0.004015056461731493
sales rep,16,2016,2,0.004015056461731493
5 hours,15,2016,2,0.0037641154328732747
6 months,15,2016,2,0.0037641154328732747
basic oil,15,2016,2,0.0037641154328732747
car serviced,15,2016,2,0.0037641154328732747
highly recommend,15,2016,2,0.0037641154328732747
repair shop,15,2016,2,0.0037641154328732747
wait time,15,2016,2,0.0037641154328732747
40 minutes,14,2016,2,0.0035131744040150566
car buying,14,2016,2,0.0035131744040150566
car detailed,14,2016,2,0.0035131744040150566
car rental,14,2016,2,0.0035131744040150566
flat tire,14,2016,2,0.0035131744040150566
loaner car,14,2016,2,0.0035131744040150566
month ago,14,2016,2,0.0035131744040150566
oil filter,14,2016,2,0.0035131744040150566
4 days,13,2016,2,0.003262233375156838
car wash,375,2015,4,0.09170946441672781
oil change,339,2015,4,0.08290535583272193
customer service,304,2015,4,0.07434580582049401
gas station,147,2015,4,0.0359501100513573
5 stars,131,2015,4,0.03203717290291025
service department,106,2015,4,0.025923208608461725
4 stars,101,2015,4,0.024700415749572022
las vegas,94,2015,4,0.022988505747126436
highly recommend,90,2015,4,0.022010271460014674
test drive,61,2015,4,0.01491807287845439
parking lot,55,2015,4,0.013450721447786746
thai food,54,2015,4,0.013206162876008804
30 minutes,48,2015,4,0.01173881144534116
5 star,48,2015,4,0.01173881144534116
car buying,46,2015,4,0.011249694301785278
pad thai,45,2015,4,0.011005135730007337
car washes,44,2015,4,0.010760577158229395
friendly staff,43,2015,4,0.010516018586451455
buying experience,42,2015,4,0.010271460014673514
crispy duck,41,2015,4,0.010026901442895574
garlic prawns,41,2015,4,0.010026901442895574
reasonable price,40,2015,4,0.009782342871117632
2 hours,37,2015,4,0.009048667155783811
oil changed,37,2015,4,0.009048667155783811
15 minutes,36,2015,4,0.00880410858400587
sales person,36,2015,4,0.00880410858400587
