bigram,n,star,pec
nail salon,296,4,0.041549691184727684
front desk,278,4,0.03902302077484559
customer service,267,4,0.03747894441325098
hair cut,265,4,0.037198203256597416
mani pedi,260,4,0.0364963503649635
5 stars,229,4,0.03214486243683324
4 stars,189,4,0.02653003930376193
highly recommend,184,4,0.02582818641212802
gel manicure,183,4,0.025687815833801236
las vegas,148,4,0.020774845592363842
friendly staff,126,4,0.01768669286917462
nail tech,122,4,0.01712521055586749
foot massage,121,4,0.016984839977540706
super friendly,111,4,0.01558113419427288
gel mani,100,4,0.01403705783267827
30 minutes,99,4,0.013896687254351487
deep tissue,96,4,0.01347557551937114
nail salons,94,4,0.013194834362717574
amazing job,92,4,0.01291409320606401
15 minutes,90,4,0.012633352049410443
10 minutes,89,4,0.01249298147108366
gel polish,88,4,0.012352610892756879
5 star,87,4,0.012212240314430096
massage chairs,81,4,0.011370016844469399
massage therapist,81,4,0.011370016844469399
nail polish,76,4,0.010668163952835485
super nice,72,4,0.010106681639528355
hot stone,71,4,0.009966311061201572
gel nails,65,4,0.009124087591240875
hot stones,63,4,0.00884334643458731
walk ins,62,4,0.008702975856260528
body massage,58,4,0.008141493542953397
hot tub,57,4,0.008001122964626614
2 weeks,56,4,0.007860752386299831
massage chair,56,4,0.007860752386299831
20 minutes,55,4,0.007720381807973049
parking lot,55,4,0.007720381807973049
resort fee,55,4,0.007720381807973049
5 minutes,54,4,0.007580011229646266
massage envy,54,4,0.007580011229646266
3 weeks,53,4,0.0074396406513194836
nail techs,53,4,0.0074396406513194836
top notch,53,4,0.0074396406513194836
barber shop,52,4,0.0072992700729927005
nice touch,52,4,0.0072992700729927005
pleasantly surprised,50,4,0.007018528916339135
feel comfortable,49,4,0.006878158338012353
love love,49,4,0.006878158338012353
nail art,49,4,0.006878158338012353
bowling alley,48,4,0.00673778775968557
wait time,48,4,0.00673778775968557
tissue massage,47,4,0.006597417181358787
desk staff,46,4,0.006457046603032005
call ahead,45,4,0.006316676024705222
fantastic job,45,4,0.006316676024705222
nice job,45,4,0.006316676024705222
nthe staff,45,4,0.006316676024705222
reasonable price,45,4,0.006316676024705222
wonderful job,45,4,0.006316676024705222
bad experience,44,4,0.006176305446378439
blow dry,44,4,0.006176305446378439
hair salon,44,4,0.006176305446378439
scalp massage,44,4,0.006176305446378439
hour massage,43,4,0.006035934868051656
stone massage,43,4,0.006035934868051656
4 star,42,4,0.005895564289724873
excellent job,42,4,0.005895564289724873
2 hours,41,4,0.005755193711398091
couples massage,41,4,0.005755193711398091
shellac manicure,40,4,0.005614823133071308
vegas strip,40,4,0.005614823133071308
awesome job,38,4,0.005334081976417743
nthe salon,38,4,0.005334081976417743
yelp reviews,38,4,0.005334081976417743
bit pricey,37,4,0.0051937113980909605
friendly service,37,4,0.0051937113980909605
red rock,37,4,0.0051937113980909605
45 minutes,36,4,0.0050533408197641775
food court,36,4,0.0050533408197641775
gel colors,36,4,0.0050533408197641775
minute massage,36,4,0.0050533408197641775
1 hour,35,4,0.004912970241437394
eyebrow threading,35,4,0.004912970241437394
hair removal,35,4,0.004912970241437394
hair stylist,35,4,0.004912970241437394
hot towel,35,4,0.004912970241437394
nail technician,35,4,0.004912970241437394
pedicure chairs,35,4,0.004912970241437394
weeks ago,35,4,0.004912970241437394
absolutely love,34,4,0.004772599663110612
fell asleep,34,4,0.004772599663110612
reasonable prices,34,4,0.004772599663110612
1 2,33,4,0.004632229084783829
credit card,33,4,0.004632229084783829
months ago,33,4,0.004632229084783829
nice clean,33,4,0.004632229084783829
shopping center,33,4,0.004632229084783829
4 5,32,4,0.004491858506457047
fitness center,32,4,0.004491858506457047
happy hour,32,4,0.004491858506457047
customer service,1592,1,0.10734996628455833
front desk,548,1,0.03695212407282535
nail salon,481,1,0.03243425488873904
hair cut,445,1,0.030006743088334457
nail polish,416,1,0.028051247471341873
nail tech,387,1,0.026095751854349293
mani pedi,330,1,0.022252191503708697
30 minutes,319,1,0.02151045178691841
gel manicure,310,1,0.020903573836817263
10 minutes,304,1,0.02049898853674983
gel polish,299,1,0.02016183412002697
15 minutes,292,1,0.019689817936614968
20 minutes,281,1,0.01894807821982468
worst experience,235,1,0.015846257585974376
credit card,234,1,0.015778826702629804
5 minutes,200,1,0.013486176668914362
2 hours,180,1,0.012137559002022926
45 minutes,172,1,0.011598111935266352
horrible experience,171,1,0.01153068105192178
2 weeks,163,1,0.010991233985165206
1 star,156,1,0.010519217801753203
gel nails,148,1,0.009979770734996628
entire time,146,1,0.009844908968307484
top coat,143,1,0.00964261631827377
blow dry,142,1,0.009575185434929197
gift card,142,1,0.009575185434929197
3 times,137,1,0.009238031018206338
bad experience,136,1,0.009170600134861767
extremely rude,134,1,0.009035738368172622
las vegas,132,1,0.00890087660148348
weeks ago,127,1,0.008563722184760621
1 2,126,1,0.008496291301416048
2 days,125,1,0.008428860418071477
phone call,125,1,0.008428860418071477
horrible service,124,1,0.008361429534726905
3 days,123,1,0.008293998651382334
horrible customer,122,1,0.00822656776803776
poor customer,118,1,0.007956844234659474
worst customer,117,1,0.007889413351314902
hair stylist,115,1,0.0077545515846257585
gel mani,114,1,0.007687120701281187
months ago,114,1,0.007687120701281187
multiple times,114,1,0.007687120701281187
nail salons,114,1,0.007687120701281187
0 stars,109,1,0.007349966284558328
3 weeks,107,1,0.007215104517869184
nail technician,107,1,0.007215104517869184
appointment time,103,1,0.006945380984490897
hair salon,102,1,0.006877950101146325
terrible customer,100,1,0.006743088334457181
polish change,98,1,0.0066082265677680375
gift certificate,97,1,0.006540795684423466
1 hour,96,1,0.006473364801078894
40 minutes,95,1,0.0064059339177343225
horrible job,93,1,0.006271072151045179
walk ins,92,1,0.006203641267700607
worst nail,91,1,0.006136210384356035
ni called,90,1,0.006068779501011463
story short,90,1,0.006068779501011463
massage therapist,89,1,0.006001348617666892
foot massage,86,1,0.005799055967633176
hair color,84,1,0.005664194200944032
nail techs,84,1,0.005664194200944032
minutes late,83,1,0.005596763317599461
30 mins,82,1,0.005529332434254889
spray tan,82,1,0.005529332434254889
terrible experience,81,1,0.005461901550910317
3 hours,79,1,0.005327039784221174
massage envy,79,1,0.005327039784221174
24 hours,78,1,0.0052596089008766014
30 min,77,1,0.00519217801753203
cell phone,74,1,0.004989885367498314
extremely disappointed,74,1,0.004989885367498314
worst service,72,1,0.004855023600809171
acrylic nails,71,1,0.004787592717464598
minute massage,71,1,0.004787592717464598
5 days,70,1,0.004720161834120027
6 months,70,1,0.004720161834120027
bad service,70,1,0.004720161834120027
shellac manicure,70,1,0.004720161834120027
bad customer,69,1,0.004652730950775455
french manicure,69,1,0.004652730950775455
3 months,68,1,0.004585300067430883
2 months,67,1,0.004517869184086311
bad reviews,67,1,0.004517869184086311
french tip,65,1,0.004383007417397168
half hour,65,1,0.004383007417397168
2 3,64,1,0.004315576534052596
wait time,64,1,0.004315576534052596
25 minutes,63,1,0.004248145650708024
5 stars,63,1,0.004248145650708024
minute wait,63,1,0.004248145650708024
nails looked,63,1,0.004248145650708024
worst haircut,63,1,0.004248145650708024
hair removal,62,1,0.004180714767363453
negative stars,62,1,0.004180714767363453
highly recommend,61,1,0.00411328388401888
living social,61,1,0.00411328388401888
phone calls,61,1,0.00411328388401888
terrible service,61,1,0.00411328388401888
customer service,404,2,0.06741198064408477
front desk,299,2,0.049891540130151846
nail salon,238,2,0.039712998498247956
nail tech,224,2,0.0373769397630569
2 stars,203,2,0.03387285166027031
gel manicure,192,2,0.03203737693976306
nail polish,167,2,0.02786584348406474
gel polish,158,2,0.026364091440013348
mani pedi,140,2,0.023360587351910562
30 minutes,119,2,0.019856499249123978
10 minutes,110,2,0.018354747205072585
15 minutes,106,2,0.017687301852160855
20 minutes,102,2,0.017019856499249125
hair cut,97,2,0.016185549808109462
5 minutes,84,2,0.014016352411146337
2 weeks,80,2,0.013348907058234607
top coat,76,2,0.012681461705322876
entire time,75,2,0.012514600367094944
blow dry,71,2,0.011847155014183213
2 hours,70,2,0.011680293675955281
foot massage,68,2,0.011346570999499416
2 days,63,2,0.010512264308359753
3 days,63,2,0.010512264308359753
45 minutes,63,2,0.010512264308359753
multiple times,61,2,0.010178541631903888
las vegas,60,2,0.010011680293675955
nail salons,60,2,0.010011680293675955
3 times,59,2,0.009844818955448023
gel mani,59,2,0.009844818955448023
5 stars,58,2,0.00967795761722009
gel nails,58,2,0.00967795761722009
deep tissue,55,2,0.009177373602536293
shellac manicure,54,2,0.00901051226430836
walk ins,53,2,0.008843650926080427
3 weeks,51,2,0.008509928249624562
5 star,51,2,0.008509928249624562
credit card,51,2,0.008509928249624562
nail techs,51,2,0.008509928249624562
nail technician,49,2,0.008176205573168697
polish change,46,2,0.0076756215584848995
4 days,44,2,0.0073418988820290335
weeks ago,43,2,0.007175037543801101
days ago,42,2,0.007008176205573168
massage therapist,42,2,0.007008176205573168
40 minutes,41,2,0.006841314867345236
minutes late,41,2,0.006841314867345236
super nice,40,2,0.006674453529117303
bad experience,38,2,0.006340730852661438
acrylic nails,37,2,0.006173869514433506
2 star,36,2,0.006007008176205573
6 months,35,2,0.0058401468379776405
paint job,35,2,0.0058401468379776405
2 3,34,2,0.005673285499749708
hand massage,34,2,0.005673285499749708
hot stones,34,2,0.005673285499749708
1 2,33,2,0.005506424161521775
1 star,33,2,0.005506424161521775
appointment time,33,2,0.005506424161521775
basic pedicure,33,2,0.005506424161521775
wait time,33,2,0.005506424161521775
5 days,31,2,0.00517270148506591
french manicure,31,2,0.00517270148506591
nail art,31,2,0.00517270148506591
10 15,30,2,0.005005840146837978
nails looked,30,2,0.005005840146837978
spray tan,30,2,0.005005840146837978
24 hours,29,2,0.004838978808610045
25 minutes,29,2,0.004838978808610045
3 4,29,2,0.004838978808610045
3 hours,29,2,0.004838978808610045
desk staff,29,2,0.004838978808610045
hair stylist,29,2,0.004838978808610045
lash extensions,29,2,0.004838978808610045
phone call,29,2,0.004838978808610045
polish job,29,2,0.004838978808610045
1 hour,28,2,0.0046721174703821125
half hour,28,2,0.0046721174703821125
poor customer,28,2,0.0046721174703821125
regular pedicure,28,2,0.0046721174703821125
star rating,28,2,0.0046721174703821125
friendly staff,27,2,0.00450525613215418
hard time,27,2,0.00450525613215418
minute massage,27,2,0.00450525613215418
months ago,27,2,0.00450525613215418
story short,27,2,0.00450525613215418
toe nails,27,2,0.00450525613215418
10 mins,26,2,0.004338394793926247
30 mins,26,2,0.004338394793926247
gel manicures,26,2,0.004338394793926247
hot towel,26,2,0.004338394793926247
left feeling,26,2,0.004338394793926247
nail shop,26,2,0.004338394793926247
pedicure chair,26,2,0.004338394793926247
resort fee,26,2,0.004338394793926247
tissue massage,26,2,0.004338394793926247
20 mins,25,2,0.004171533455698315
bad reviews,25,2,0.004171533455698315
regular polish,25,2,0.004171533455698315
shellac mani,25,2,0.004171533455698315
