bigram,n,year,star,pec
front desk,14,2018,2,0.03804347826086957
customer service,13,2018,2,0.035326086956521736
financial aid,13,2018,2,0.035326086956521736
1 2,9,2018,2,0.024456521739130436
10 minutes,9,2018,2,0.024456521739130436
2 stars,9,2018,2,0.024456521739130436
multiple times,9,2018,2,0.024456521739130436
2 hours,6,2018,2,0.016304347826086956
child care,6,2018,2,0.016304347826086956
pompeii exhibit,6,2018,2,0.016304347826086956
3 days,5,2018,2,0.01358695652173913
30 minutes,5,2018,2,0.01358695652173913
5 stars,5,2018,2,0.01358695652173913
bad experience,5,2018,2,0.01358695652173913
months ago,5,2018,2,0.01358695652173913
whiz kidz,5,2018,2,0.01358695652173913
15 minutes,4,2018,2,0.010869565217391304
2 times,4,2018,2,0.010869565217391304
2 weeks,4,2018,2,0.010869565217391304
20 minutes,4,2018,2,0.010869565217391304
4 9,4,2018,2,0.010869565217391304
animal control,4,2018,2,0.010869565217391304
asu gammage,4,2018,2,0.010869565217391304
cooking class,4,2018,2,0.010869565217391304
credit card,4,2018,2,0.010869565217391304
martial arts,4,2018,2,0.010869565217391304
molten glass,4,2018,2,0.010869565217391304
office staff,4,2018,2,0.010869565217391304
parking lot,4,2018,2,0.010869565217391304
potty trained,4,2018,2,0.010869565217391304
private lessons,4,2018,2,0.010869565217391304
science center,4,2018,2,0.010869565217391304
shark exhibit,4,2018,2,0.010869565217391304
1 star,3,2018,2,0.008152173913043478
2 3,3,2018,2,0.008152173913043478
3 day,3,2018,2,0.008152173913043478
3 months,3,2018,2,0.008152173913043478
3 times,3,2018,2,0.008152173913043478
45 min,3,2018,2,0.008152173913043478
6 weeks,3,2018,2,0.008152173913043478
african american,3,2018,2,0.008152173913043478
art museum,3,2018,2,0.008152173913043478
aveda institute,3,2018,2,0.008152173913043478
balcony seats,3,2018,2,0.008152173913043478
bike path,3,2018,2,0.008152173913043478
bite quarantine,3,2018,2,0.008152173913043478
brass vixens,3,2018,2,0.008152173913043478
business bureau,3,2018,2,0.008152173913043478
concrete bike,3,2018,2,0.008152173913043478
continuation courses,3,2018,2,0.008152173913043478
day care,3,2018,2,0.008152173913043478
deep fried,3,2018,2,0.008152173913043478
dim sum,3,2018,2,0.008152173913043478
dr hsiung,3,2018,2,0.008152173913043478
family emergency,3,2018,2,0.008152173913043478
field trip,3,2018,2,0.008152173913043478
free class,3,2018,2,0.008152173913043478
huge disappointment,3,2018,2,0.008152173913043478
learning leaders,3,2018,2,0.008152173913043478
mani pedi,3,2018,2,0.008152173913043478
miss tyana,3,2018,2,0.008152173913043478
natural playground,3,2018,2,0.008152173913043478
phone calls,3,2018,2,0.008152173913043478
piggy bank,3,2018,2,0.008152173913043478
post op,3,2018,2,0.008152173913043478
pretty disappointed,3,2018,2,0.008152173913043478
sales pitch,3,2018,2,0.008152173913043478
security guard,3,2018,2,0.008152173913043478
shot glass,3,2018,2,0.008152173913043478
size fits,3,2018,2,0.008152173913043478
solar system,3,2018,2,0.008152173913043478
student esthetician,3,2018,2,0.008152173913043478
studio time,3,2018,2,0.008152173913043478
teacher ratio,3,2018,2,0.008152173913043478
yelp review,3,2018,2,0.008152173913043478
1 1,2,2018,2,0.005434782608695652
1 person,2,2018,2,0.005434782608695652
2 day,2,2018,2,0.005434782608695652
2 days,2,2018,2,0.005434782608695652
2 months,2,2018,2,0.005434782608695652
20 mins,2,2018,2,0.005434782608695652
24 hour,2,2018,2,0.005434782608695652
24 hours,2,2018,2,0.005434782608695652
3 4,2,2018,2,0.005434782608695652
30 mins,2,2018,2,0.005434782608695652
300 worth,2,2018,2,0.005434782608695652
4 days,2,2018,2,0.005434782608695652
4 hours,2,2018,2,0.005434782608695652
4 kids,2,2018,2,0.005434782608695652
4 star,2,2018,2,0.005434782608695652
400 dollars,2,2018,2,0.005434782608695652
45 mature,2,2018,2,0.005434782608695652
5 hours,2,2018,2,0.005434782608695652
5 minutes,2,2018,2,0.005434782608695652
6 months,2,2018,2,0.005434782608695652
6 students,2,2018,2,0.005434782608695652
6 times,2,2018,2,0.005434782608695652
6 week,2,2018,2,0.005434782608695652
60 minute,2,2018,2,0.005434782608695652
6th grader,2,2018,2,0.005434782608695652
highly recommend,29,2017,4,0.0424597364568082
cactus garden,28,2017,4,0.040995607613469986
customer service,18,2017,4,0.02635431918008785
pretty cool,18,2017,4,0.02635431918008785
5 stars,17,2017,4,0.024890190336749635
friendly staff,17,2017,4,0.024890190336749635
front desk,17,2017,4,0.024890190336749635
parking lot,16,2017,4,0.02342606149341142
4 stars,15,2017,4,0.021961932650073207
3 hours,14,2017,4,0.020497803806734993
gift shop,13,2017,4,0.01903367496339678
las vegas,13,2017,4,0.01903367496339678
hot chocolate,12,2017,4,0.017569546120058566
30 minutes,10,2017,4,0.014641288433382138
4 5,10,2017,4,0.014641288433382138
2 hours,9,2017,4,0.013177159590043924
chocolate factory,9,2017,4,0.013177159590043924
chocolate tasting,9,2017,4,0.013177159590043924
christmas lights,9,2017,4,0.013177159590043924
hair cut,9,2017,4,0.013177159590043924
nthe staff,9,2017,4,0.013177159590043924
pole dancing,9,2017,4,0.013177159590043924
super friendly,9,2017,4,0.013177159590043924
5 star,8,2017,4,0.01171303074670571
date night,8,2017,4,0.01171303074670571
super nice,8,2017,4,0.01171303074670571
1 2,7,2017,4,0.010248901903367497
feel comfortable,7,2017,4,0.010248901903367497
fun experience,7,2017,4,0.010248901903367497
guided tour,7,2017,4,0.010248901903367497
20 minutes,6,2017,4,0.008784773060029283
4 hours,6,2017,4,0.008784773060029283
friday night,6,2017,4,0.008784773060029283
rounded mamma,6,2017,4,0.008784773060029283
shark reef,6,2017,4,0.008784773060029283
sting rays,6,2017,4,0.008784773060029283
super helpful,6,2017,4,0.008784773060029283
wide variety,6,2017,4,0.008784773060029283
15 minutes,5,2017,4,0.007320644216691069
3 stars,5,2017,4,0.007320644216691069
4 star,5,2017,4,0.007320644216691069
coffee shop,5,2017,4,0.007320644216691069
financial aid,5,2017,4,0.007320644216691069
free wifi,5,2017,4,0.007320644216691069
fun time,5,2017,4,0.007320644216691069
ice skating,5,2017,4,0.007320644216691069
ni highly,5,2017,4,0.007320644216691069
squirrel hill,5,2017,4,0.007320644216691069
strip club,5,2017,4,0.007320644216691069
super fun,5,2017,4,0.007320644216691069
swim school,5,2017,4,0.007320644216691069
tea time,5,2017,4,0.007320644216691069
wait time,5,2017,4,0.007320644216691069
yoga teacher,5,2017,4,0.007320644216691069
10 15,4,2017,4,0.005856515373352855
2 months,4,2017,4,0.005856515373352855
2 weeks,4,2017,4,0.005856515373352855
24 hours,4,2017,4,0.005856515373352855
3 4,4,2017,4,0.005856515373352855
3 days,4,2017,4,0.005856515373352855
30 min,4,2017,4,0.005856515373352855
5th floor,4,2017,4,0.005856515373352855
amazing job,4,2017,4,0.005856515373352855
annual passes,4,2017,4,0.005856515373352855
beautiful campus,4,2017,4,0.005856515373352855
birthday party,4,2017,4,0.005856515373352855
bit pricey,4,2017,4,0.005856515373352855
blu ray,4,2017,4,0.005856515373352855
cheese board,4,2017,4,0.005856515373352855
creative kids,4,2017,4,0.005856515373352855
daughter loves,4,2017,4,0.005856515373352855
desk staff,4,2017,4,0.005856515373352855
entire time,4,2017,4,0.005856515373352855
extremely friendly,4,2017,4,0.005856515373352855
family friendly,4,2017,4,0.005856515373352855
festive fridays,4,2017,4,0.005856515373352855
food court,4,2017,4,0.005856515373352855
free chocolate,4,2017,4,0.005856515373352855
free sample,4,2017,4,0.005856515373352855
free trial,4,2017,4,0.005856515373352855
friendly people,4,2017,4,0.005856515373352855
front office,4,2017,4,0.005856515373352855
fun night,4,2017,4,0.005856515373352855
hair stylist,4,2017,4,0.005856515373352855
hand massage,4,2017,4,0.005856515373352855
ice rink,4,2017,4,0.005856515373352855
laser quest,4,2017,4,0.005856515373352855
light rail,4,2017,4,0.005856515373352855
love coming,4,2017,4,0.005856515373352855
massage therapist,4,2017,4,0.005856515373352855
nbottom line,4,2017,4,0.005856515373352855
ni love,4,2017,4,0.005856515373352855
nice selection,4,2017,4,0.005856515373352855
nthe chocolate,4,2017,4,0.005856515373352855
nthe food,4,2017,4,0.005856515373352855
pay attention,4,2017,4,0.005856515373352855
pleasantly surprised,4,2017,4,0.005856515373352855
real life,4,2017,4,0.005856515373352855
saturday afternoon,4,2017,4,0.005856515373352855
science center,4,2017,4,0.005856515373352855
front desk,21,2018,3,0.04411764705882353
customer service,14,2018,3,0.029411764705882353
3 stars,13,2018,3,0.0273109243697479
cactus garden,12,2018,3,0.025210084033613446
hot chocolate,12,2018,3,0.025210084033613446
pompeii exhibit,11,2018,3,0.023109243697478993
las vegas,10,2018,3,0.02100840336134454
dim sum,9,2018,3,0.018907563025210083
science center,9,2018,3,0.018907563025210083
3 select,8,2018,3,0.01680672268907563
biz_photos ethel,8,2018,3,0.01680672268907563
chocolate henderson,8,2018,3,0.01680672268907563
gift shop,8,2018,3,0.01680672268907563
henderson 3,8,2018,3,0.01680672268907563
nhttps www,8,2018,3,0.01680672268907563
www yelp,8,2018,3,0.01680672268907563
20 minutes,7,2018,3,0.014705882352941176
birthday party,7,2018,3,0.014705882352941176
fish fry,7,2018,3,0.014705882352941176
30 minutes,6,2018,3,0.012605042016806723
shrimp dumpling,6,2018,3,0.012605042016806723
