bigram,n,star,pec
front desk,732,3,0.07561202355128602
3 stars,437,3,0.04513996487966119
customer service,397,3,0.04100816031401715
las vegas,385,3,0.03976861894432393
resort fee,220,3,0.02272492511104225
ice cream,186,3,0.01921289123024481
5 stars,183,3,0.018903005887821504
happy hour,181,3,0.018696415659539303
20 minutes,149,3,0.015390972007024068
parking lot,147,3,0.015184381778741865
15 minutes,145,3,0.014977791550459663
nthe food,139,3,0.014358020865613056
30 minutes,137,3,0.014151430637330854
10 minutes,134,3,0.01384154529490755
pulled pork,132,3,0.013634955066625348
fast food,124,3,0.01280859415349654
1 2,119,3,0.012292118582791034
walking distance,119,3,0.012292118582791034
3 star,115,3,0.01187893812622663
salad bar,112,3,0.011569052783803326
4 stars,111,3,0.011465757669662225
5 star,110,3,0.011362462555521124
nthe hotel,105,3,0.010845986984815618
chick fil,101,3,0.010432806528251213
friendly staff,97,3,0.01001962607168681
mini fridge,96,3,0.009916330957545709
fried chicken,94,3,0.009709740729263505
mashed potatoes,93,3,0.009606445615122404
food court,92,3,0.009503150500981303
coffee maker,91,3,0.009399855386840203
friday night,89,3,0.009193265158558001
prime rib,88,3,0.009089970044416898
wait staff,87,3,0.008986674930275797
nthe staff,86,3,0.008883379816134697
2 stars,82,3,0.008470199359570293
5 minutes,82,3,0.008470199359570293
mandalay bay,81,3,0.00836690424542919
nthe service,81,3,0.00836690424542919
desk staff,80,3,0.00826360913128809
free parking,80,3,0.00826360913128809
mexican food,79,3,0.008160314017146989
nice hotel,77,3,0.007953723788864787
parking garage,75,3,0.0077471335605825845
french toast,74,3,0.007643838446441484
food options,73,3,0.007540543332300382
pretty cool,73,3,0.007540543332300382
water pressure,72,3,0.007437248218159281
gluten free,71,3,0.00733395310401818
45 minutes,69,3,0.007127362875735978
night stay,68,3,0.007024067761594877
hot tub,67,3,0.006920772647453775
hot water,67,3,0.006920772647453775
saturday night,67,3,0.006920772647453775
super nice,67,3,0.006920772647453775
resort fees,66,3,0.006817477533312674
bbq sauce,64,3,0.006610887305030472
casino floor,64,3,0.006610887305030472
late night,64,3,0.006610887305030472
potato salad,64,3,0.006610887305030472
cracker barrel,63,3,0.006507592190889371
credit card,63,3,0.006507592190889371
free breakfast,63,3,0.006507592190889371
3.5 stars,62,3,0.00640429707674827
star rating,62,3,0.00640429707674827
write home,62,3,0.00640429707674827
breakfast buffet,61,3,0.006301001962607169
free wifi,61,3,0.006301001962607169
super friendly,61,3,0.006301001962607169
fremont street,60,3,0.006197706848466067
gift shop,60,3,0.006197706848466067
2 hours,57,3,0.005887821506042764
3 5,57,3,0.005887821506042764
monte carlo,57,3,0.005887821506042764
pretty nice,57,3,0.005887821506042764
air conditioning,56,3,0.005784526391901663
chicken sandwich,56,3,0.005784526391901663
convention center,56,3,0.005784526391901663
valet parking,56,3,0.005784526391901663
4 star,55,3,0.005681231277760562
hard rock,55,3,0.005681231277760562
king bed,54,3,0.005577936163619461
live music,54,3,0.005577936163619461
mini bar,54,3,0.005577936163619461
nice touch,52,3,0.005371345935337259
planet hollywood,52,3,0.005371345935337259
star hotel,51,3,0.005268050821196158
1 star,50,3,0.005164755707055056
3 times,50,3,0.005164755707055056
fitness center,50,3,0.005164755707055056
pretty decent,50,3,0.005164755707055056
time staying,50,3,0.005164755707055056
carne asada,49,3,0.005061460592913955
menu items,49,3,0.005061460592913955
24 hours,48,3,0.004958165478772854
circus circus,48,3,0.004958165478772854
hotel casino,48,3,0.004958165478772854
mgm grand,48,3,0.004958165478772854
nthe casino,48,3,0.004958165478772854
slow service,48,3,0.004958165478772854
vegas strip,48,3,0.004958165478772854
front desk,1068,2,0.1217787913340935
customer service,579,2,0.06602052451539339
2 stars,325,2,0.037058152793614595
resort fee,302,2,0.03443557582668187
las vegas,292,2,0.03329532497149373
30 minutes,198,2,0.0225769669327252
10 minutes,197,2,0.022462941847206385
15 minutes,191,2,0.0217787913340935
20 minutes,175,2,0.019954389965792473
parking lot,152,2,0.01733181299885975
hot water,117,2,0.013340935005701254
resort fees,114,2,0.012998859749144812
2 hours,108,2,0.012314709236031927
