bigram,n,year,star,pec
customer service,54,2017,2,0.125
20 minutes,10,2017,2,0.023148148148148147
credit union,9,2017,2,0.020833333333333332
phone call,9,2017,2,0.020833333333333332
1 2,8,2017,2,0.018518518518518517
2 stars,8,2017,2,0.018518518518518517
45 minutes,8,2017,2,0.018518518518518517
water heater,8,2017,2,0.018518518518518517
web site,8,2017,2,0.018518518518518517
2 tellers,7,2017,2,0.016203703703703703
checking account,7,2017,2,0.016203703703703703
debit card,7,2017,2,0.016203703703703703
loan office,7,2017,2,0.016203703703703703
credit card,6,2017,2,0.013888888888888888
10 minutes,5,2017,2,0.011574074074074073
3 days,5,2017,2,0.011574074074074073
40 minutes,5,2017,2,0.011574074074074073
car insurance,5,2017,2,0.011574074074074073
home warranty,5,2017,2,0.011574074074074073
loan officer,5,2017,2,0.011574074074074073
parking lot,5,2017,2,0.011574074074074073
roadside assistance,5,2017,2,0.011574074074074073
saving account,5,2017,2,0.011574074074074073
2 days,4,2017,2,0.009259259259259259
2 months,4,2017,2,0.009259259259259259
3 people,4,2017,2,0.009259259259259259
3 times,4,2017,2,0.009259259259259259
5th wheel,4,2017,2,0.009259259259259259
bank account,4,2017,2,0.009259259259259259
business account,4,2017,2,0.009259259259259259
chuckle chuckle,4,2017,2,0.009259259259259259
garage door,4,2017,2,0.009259259259259259
mobile app,4,2017,2,0.009259259259259259
months ago,4,2017,2,0.009259259259259259
oil change,4,2017,2,0.009259259259259259
people ahead,4,2017,2,0.009259259259259259
real estate,4,2017,2,0.009259259259259259
terrible customer,4,2017,2,0.009259259259259259
1 teller,3,2017,2,0.006944444444444444
10 12,3,2017,2,0.006944444444444444
12 minutes,3,2017,2,0.006944444444444444
15 minutes,3,2017,2,0.006944444444444444
2 3,3,2017,2,0.006944444444444444
2 hours,3,2017,2,0.006944444444444444
2 people,3,2017,2,0.006944444444444444
2 star,3,2017,2,0.006944444444444444
2 weeks,3,2017,2,0.006944444444444444
3 months,3,2017,2,0.006944444444444444
30 minutes,3,2017,2,0.006944444444444444
5 minutes,3,2017,2,0.006944444444444444
6 months,3,2017,2,0.006944444444444444
ac unit,3,2017,2,0.006944444444444444
atm machines,3,2017,2,0.006944444444444444
auto insurance,3,2017,2,0.006944444444444444
auto pay,3,2017,2,0.006944444444444444
branch manager,3,2017,2,0.006944444444444444
business hours,3,2017,2,0.006944444444444444
business line,3,2017,2,0.006944444444444444
camping world,3,2017,2,0.006944444444444444
chase sapphire,3,2017,2,0.006944444444444444
check city,3,2017,2,0.006944444444444444
direct deposit,3,2017,2,0.006944444444444444
guard home,3,2017,2,0.006944444444444444
half hour,3,2017,2,0.006944444444444444
late fee,3,2017,2,0.006944444444444444
money gram,3,2017,2,0.006944444444444444
money market,3,2017,2,0.006944444444444444
nice day,3,2017,2,0.006944444444444444
nice people,3,2017,2,0.006944444444444444
online application,3,2017,2,0.006944444444444444
online banking,3,2017,2,0.006944444444444444
payday loan,3,2017,2,0.006944444444444444
people waiting,3,2017,2,0.006944444444444444
personal banker,3,2017,2,0.006944444444444444
personal bankers,3,2017,2,0.006944444444444444
phone calls,3,2017,2,0.006944444444444444
pre approved,3,2017,2,0.006944444444444444
sales person,3,2017,2,0.006944444444444444
savings account,3,2017,2,0.006944444444444444
service call,3,2017,2,0.006944444444444444
star rating,3,2017,2,0.006944444444444444
ten days,3,2017,2,0.006944444444444444
terrible experience,3,2017,2,0.006944444444444444
weeks ago,3,2017,2,0.006944444444444444
yelp review,3,2017,2,0.006944444444444444
1 17,2,2017,2,0.004629629629629629
1 az,2,2017,2,0.004629629629629629
11 15,2,2017,2,0.004629629629629629
12 00,2,2017,2,0.004629629629629629
18 people,2,2017,2,0.004629629629629629
2 atms,2,2017,2,0.004629629629629629
2 cashback,2,2017,2,0.004629629629629629
2 hrs,2,2017,2,0.004629629629629629
25 minutes,2,2017,2,0.004629629629629629
3 employees,2,2017,2,0.004629629629629629
3 forms,2,2017,2,0.004629629629629629
30 40,2,2017,2,0.004629629629629629
30 days,2,2017,2,0.004629629629629629
39 coins,2,2017,2,0.004629629629629629
5 days,2,2017,2,0.004629629629629629
customer service,45,2015,2,0.09933774834437085
credit union,13,2015,2,0.02869757174392936
credit card,11,2015,2,0.024282560706401765
