bigram,n,star,pec
ice cream,2322,3,0.0809284818067754
3 stars,1182,3,0.04119615223755751
customer service,1123,3,0.03913982991774711
fast food,710,3,0.024745573679074307
happy hour,585,3,0.02038895859473024
nthe food,577,3,0.020110135229332218
fried chicken,560,3,0.019517635577861424
5 stars,448,3,0.015614108462289139
milk tea,443,3,0.015439843858915376
10 minutes,440,3,0.015335285096891119
green tea,428,3,0.01491705004879409
parking lot,420,3,0.014638226683396068
las vegas,417,3,0.01453366792137181
20 minutes,411,3,0.014324550397323296
nthe service,393,3,0.01369719782517775
15 minutes,392,3,0.013662344904502997
pulled pork,374,3,0.013034992332357451
grocery store,366,3,0.012756168966959431
1 2,344,3,0.011989404712114874
4 stars,336,3,0.011710581346716854
bubble tea,334,3,0.01164087550536735
french toast,325,3,0.011327199219294577
coffee shop,320,3,0.011152934615920814
sweet potato,312,3,0.010874111250522794
30 minutes,305,3,0.010630140805799526
fried rice,297,3,0.010351317440401506
food court,295,3,0.010281611599052
beer selection,293,3,0.010211905757702495
gluten free,287,3,0.01000278823365398
5 minutes,263,3,0.00916631813745992
late night,263,3,0.00916631813745992
hot chocolate,259,3,0.009026906454760909
peanut butter,255,3,0.008887494772061898
wait staff,252,3,0.00878293601003764
cream cheese,251,3,0.008748083089362889
3.5 stars,250,3,0.008713230168688135
friendly staff,238,3,0.008294995120591106
write home,237,3,0.008260142199916352
5 star,233,3,0.008120730517217343
friday night,233,3,0.008120730517217343
wait time,231,3,0.008051024675867838
pad thai,230,3,0.008016171755193086
3 5,226,3,0.007876760072494075
3 star,226,3,0.007876760072494075
deep fried,226,3,0.007876760072494075
pork belly,226,3,0.007876760072494075
chicken sandwich,224,3,0.0078070542311445695
mashed potatoes,224,3,0.0078070542311445695
portion size,223,3,0.007772201310469818
saturday night,223,3,0.007772201310469818
hot sauce,220,3,0.0076676425484455595
2 stars,218,3,0.007597936707096055
pretty decent,215,3,0.007493377945071797
4 5,213,3,0.007423672103722292
onion rings,213,3,0.007423672103722292
hot dog,205,3,0.007144848738324271
iced tea,201,3,0.007005437055625261
menu items,200,3,0.006970584134950509
bbq sauce,194,3,0.006761466610901994
dim sum,194,3,0.006761466610901994
quick bite,192,3,0.006691760769552488
french fries,191,3,0.006656907848877736
crab legs,190,3,0.006622054928202984
prime rib,190,3,0.006622054928202984
star rating,190,3,0.006622054928202984
soft serve,189,3,0.006587202007528231
super friendly,181,3,0.006308378642130211
3 times,180,3,0.006273525721455458
food quality,180,3,0.006273525721455458
nthe staff,178,3,0.006203819880105953
chocolate chip,176,3,0.006134114038756448
mexican food,176,3,0.006134114038756448
minute wait,176,3,0.006134114038756448
bit pricey,174,3,0.006064408197406943
grilled cheese,170,3,0.005924996514707933
eggs benedict,169,3,0.00589014359403318
potato fries,166,3,0.0057855848320089226
45 minutes,165,3,0.00575073191133417
chicken wings,165,3,0.00575073191133417
red velvet,165,3,0.00575073191133417
huge fan,164,3,0.005715878990659417
2 3,162,3,0.0056461731493099125
chicken salad,162,3,0.0056461731493099125
friendly service,160,3,0.005576467307960407
red bean,159,3,0.005541614387285654
hash browns,158,3,0.005506761466610902
iced coffee,156,3,0.005437055625261397
slow service,152,3,0.005297643942562387
sour cream,152,3,0.005297643942562387
outdoor seating,150,3,0.0052279381012128815
decent food,147,3,0.005123379339188624
medium rare,147,3,0.005123379339188624
pretty tasty,147,3,0.005123379339188624
lunch time,146,3,0.0050885264185138715
whipped cream,146,3,0.0050885264185138715
white castle,146,3,0.0050885264185138715
dining experience,143,3,0.004983967656489614
grilled chicken,143,3,0.004983967656489614
carne asada,142,3,0.004949114735814861
potato salad,142,3,0.004949114735814861
ice cream,2117,2,0.08770040183934712
customer service,1911,2,0.07916649405526327
2 stars,933,2,0.038651145449272964
10 minutes,791,2,0.03276854882140934
20 minutes,755,2,0.03127718629603546
15 minutes,721,2,0.029868677244293467
30 minutes,492,2,0.020381954513442976
fast food,471,2,0.019511993040308213
5 minutes,415,2,0.017192095778615517
nthe food,394,2,0.016322134305480757
milk tea,385,2,0.015949293674137287
happy hour,375,2,0.015535026305977879
fried chicken,368,2,0.015245039148266292
1 2,286,2,0.011848046729359128
grocery store,271,2,0.011226645677120013
45 minutes,268,2,0.01110236546667219
las vegas,263,2,0.010895231782592486
food quality,254,2,0.010522391151249016
poor service,250,2,0.010356684203985252
wait staff,248,2,0.01027383073035337
cream cheese,247,2,0.010232403993537429
3 times,243,2,0.010066697046273665
1 star,242,2,0.010025270309457724
parking lot,239,2,0.009900990099009901
slow service,236,2,0.009776709888562078
chicken sandwich,231,2,0.009569576204482374
wait time,229,2,0.00948672273085049
5 stars,208,2,0.00861676125771573
prime rib,202,2,0.008368200836820083
bubble tea,199,2,0.008243920626372261
25 minutes,198,2,0.00820249388955632
nthe service,198,2,0.00820249388955632
french toast,196,2,0.008119640415924438
green tea,190,2,0.007871079995028792
pulled pork,187,2,0.007746799784580968
gluten free,186,2,0.007705373047765028
soft serve,186,2,0.007705373047765028
2 star,184,2,0.007622519574133146
friday night,182,2,0.007539666100501263
coffee shop,181,2,0.007498239363685323
bad service,175,2,0.007249678942789676
mashed potatoes,172,2,0.007125398732341854
multiple times,172,2,0.007125398732341854
saturday night,168,2,0.00695969178507809
credit card,167,2,0.0069182650482621484
minute wait,163,2,0.006752558100998385
sweet potato,163,2,0.006752558100998385
french fries,159,2,0.00658685115373462
taco bell,159,2,0.00658685115373462
40 minutes,157,2,0.006503997680102738
chicken salad,157,2,0.006503997680102738
fried rice,156,2,0.006462570943286798
bbq sauce,154,2,0.006379717469654916
onion rings,154,2,0.006379717469654916
mexican food,152,2,0.006296863996023033
3 4,151,2,0.006255437259207092
hot sauce,150,2,0.006214010522391151
iced coffee,150,2,0.006214010522391151
medium rare,148,2,0.006131157048759269
pad thai,148,2,0.006131157048759269
grilled cheese,146,2,0.006048303575127387
bad experience,143,2,0.005924023364679564
food court,143,2,0.005924023364679564
write home,142,2,0.005882596627863623
dim sum,139,2,0.0057583164174158
bad day,137,2,0.005675462943783918
chick fil,134,2,0.005551182733336095
dining experience,134,2,0.005551182733336095
portion size,134,2,0.005551182733336095
sour cream,133,2,0.0055097559965201545
carne asada,132,2,0.005468329259704213
iced tea,129,2,0.00534404904925639
menu items,129,2,0.00534404904925639
eye contact,128,2,0.005302622312440449
2 hours,127,2,0.005261195575624508
star rating,127,2,0.005261195575624508
terrible service,124,2,0.005136915365176685
4 times,120,2,0.004971208417912921
5 star,118,2,0.004888354944281039
friendly staff,117,2,0.004846928207465098
lacked flavor,116,2,0.004805501470649157
late night,115,2,0.004764074733833216
2 3,113,2,0.004681221260201334
4 stars,113,2,0.004681221260201334
poor customer,113,2,0.004681221260201334
2 5,112,2,0.004639794523385393
food arrived,112,2,0.004639794523385393
mediocre food,112,2,0.004639794523385393
deep fried,111,2,0.004598367786569452
hash browns,110,2,0.004556941049753511
4 5,109,2,0.00451551431293757
hot dog,109,2,0.00451551431293757
extremely slow,108,2,0.0044740875761216286
single time,108,2,0.0044740875761216286
pork belly,107,2,0.004432660839305688
weeks ago,107,2,0.004432660839305688
poke bowl,106,2,0.004391234102489747
ten minutes,106,2,0.004391234102489747
entire time,105,2,0.004349807365673806
10 15,104,2,0.004308380628857865
customer service,6466,1,0.1382953694792001
ice cream,2150,1,0.04598438669660999
20 minutes,1922,1,0.04110790289808577
10 minutes,1867,1,0.039931558122125975
15 minutes,1723,1,0.036851673617794886
30 minutes,1366,1,0.029216126617474067
fast food,1036,1,0.022158057961715324
5 minutes,966,1,0.020660891883221046
horrible service,750,1,0.016041065126724416
