bigram,n,star,pec
front desk,132,3,0.07647740440324449
customer service,75,3,0.043453070683661645
3 stars,64,3,0.03707995365005794
office staff,62,3,0.03592120509849363
wait time,52,3,0.030127462340672075
5 stars,46,3,0.026651216685979143
10 minutes,39,3,0.022595596755504054
30 minutes,39,3,0.022595596755504054
20 minutes,38,3,0.0220162224797219
urgent care,38,3,0.0220162224797219
5 minutes,33,3,0.019119351100811123
15 minutes,32,3,0.01853997682502897
wait times,30,3,0.01738122827346466
desk staff,27,3,0.015643105446118192
front office,26,3,0.015063731170336037
phone calls,24,3,0.013904982618771726
bedside manner,23,3,0.013325608342989572
foot massage,23,3,0.013325608342989572
2 hours,22,3,0.012746234067207415
deep tissue,21,3,0.01216685979142526
3 hours,20,3,0.011587485515643106
primary care,20,3,0.011587485515643106
45 minutes,19,3,0.01100811123986095
friendly staff,19,3,0.01100811123986095
massage therapist,19,3,0.01100811123986095
1 star,17,3,0.009849362688296639
1 hour,16,3,0.009269988412514484
1 2,15,3,0.00869061413673233
2 days,15,3,0.00869061413673233
appointment time,15,3,0.00869061413673233
body massage,15,3,0.00869061413673233
parking lot,15,3,0.00869061413673233
love dr,14,3,0.008111239860950173
super friendly,14,3,0.008111239860950173
feel comfortable,13,3,0.007531865585168019
insurance company,13,3,0.007531865585168019
las vegas,13,3,0.007531865585168019
minute massage,13,3,0.007531865585168019
2 3,12,3,0.006952491309385863
2 weeks,12,3,0.006952491309385863
5 star,12,3,0.006952491309385863
credit card,12,3,0.006952491309385863
hour massage,12,3,0.006952491309385863
hour wait,12,3,0.006952491309385863
massage envy,12,3,0.006952491309385863
phone call,12,3,0.006952491309385863
star rating,12,3,0.006952491309385863
2 stars,11,3,0.006373117033603708
3 star,11,3,0.006373117033603708
3 times,11,3,0.006373117033603708
4 stars,11,3,0.006373117033603708
45 min,11,3,0.006373117033603708
90 minutes,11,3,0.006373117033603708
cat scan,11,3,0.006373117033603708
minutes late,11,3,0.006373117033603708
nthe staff,11,3,0.006373117033603708
root canal,11,3,0.006373117033603708
tissue massage,11,3,0.006373117033603708
10 min,10,3,0.005793742757821553
3.5 stars,10,3,0.005793742757821553
dental assistant,10,3,0.005793742757821553
doctors office,10,3,0.005793742757821553
