bigram,n,star,pec
customer service,4243,1,0.13099317711710043
home warranty,958,1,0.02957611682257417
home depot,711,1,0.021950541817171435
warranty company,705,1,0.021765305177364084
2 weeks,617,1,0.019048501126856226
phone call,600,1,0.018523663980735388
phone calls,572,1,0.01765922632830107
multiple times,516,1,0.015930351023432435
las vegas,500,1,0.015436386650612824
management company,500,1,0.015436386650612824
apartment complex,490,1,0.015127658917600569
2 months,476,1,0.014695440091383408
water heater,472,1,0.014571948998178506
hot water,463,1,0.014294094038467476
property management,451,1,0.013923620758852768
credit card,440,1,0.013584020252539285
3 weeks,438,1,0.013522274705936834
property manager,403,1,0.012441727640393937
office staff,393,1,0.01213299990738168
3 days,389,1,0.012009508814176777
2 days,384,1,0.01185514494767065
2 hours,384,1,0.01185514494767065
worst customer,370,1,0.01142292612145349
6 months,364,1,0.011237689481646137
3 times,356,1,0.01099070729523633
1 star,348,1,0.010743725108826525
3 months,341,1,0.010527615695717946
front desk,341,1,0.010527615695717946
30 minutes,332,1,0.010249760736006915
front office,331,1,0.01021888796270569
leasing office,331,1,0.01021888796270569
months ago,331,1,0.01021888796270569
security deposit,321,1,0.009910160229693434
worst experience,320,1,0.009879287456392207
garage door,314,1,0.009694050816584854
1 2,309,1,0.009539686950078726
0 stars,306,1,0.009447068630175049
weeks ago,298,1,0.009200086443765243
horrible customer,296,1,0.009138340897162792
ac unit,282,1,0.008706122070945633
worst company,281,1,0.008675249297644407
20 minutes,277,1,0.008551758204439505
air conditioning,263,1,0.008119539378222346
10 minutes,257,1,0.007934302738414991
service call,254,1,0.007841684418511316
real estate,253,1,0.007810811645210089
front door,251,1,0.007749066098607638
terrible customer,251,1,0.007749066098607638
poor customer,250,1,0.007718193325306412
5 days,249,1,0.0076873205520051864
parking lot,241,1,0.0074403383655953816
moving company,239,1,0.0073785928189929306
15 minutes,232,1,0.00716248340588435
insurance company,232,1,0.00716248340588435
pest control,232,1,0.00716248340588435
24 hours,224,1,0.006915501219474545
30 days,221,1,0.006822882899570868
ni called,220,1,0.0067920101262696425
4 days,219,1,0.006761137352968417
extremely rude,211,1,0.006514155166558612
3 hours,209,1,0.00645240961995616
buyer beware,207,1,0.006390664073353709
horrible experience,203,1,0.006267172980148806
4 months,202,1,0.006236300206847581
5 minutes,189,1,0.005834954153931648
sales person,189,1,0.005834954153931648
10 days,188,1,0.005804081380630422
century link,188,1,0.005804081380630422
story short,185,1,0.005711463060726745
4 hours,184,1,0.005680590287425519
negative stars,180,1,0.005557099194220617
service fee,176,1,0.005433608101015714
bad reviews,175,1,0.005402735327714489
5 star,173,1,0.005340989781112037
air conditioner,173,1,0.005340989781112037
absolute worst,170,1,0.0052483714612083605
days ago,169,1,0.005217498687907135
business bureau,163,1,0.005032262048099781
american home,160,1,0.004939643728196104
4 times,158,1,0.004877898181593653
direct tv,155,1,0.004785279861689975
negative reviews,155,1,0.004785279861689975
6 weeks,154,1,0.00475440708838875
bed bugs,153,1,0.004723534315087524
2 3,149,1,0.0046000432218826215
carpet cleaning,148,1,0.004569170448581396
day notice,148,1,0.004569170448581396
45 minutes,147,1,0.0045382976752801705
business practices,147,1,0.0045382976752801705
poor service,146,1,0.004507424901978945
terrible experience,146,1,0.004507424901978945
5 months,141,1,0.004353061035472817
bad experience,140,1,0.004322188262171591
numerous times,140,1,0.004322188262171591
time frame,140,1,0.004322188262171591
horrible service,139,1,0.004291315488870366
office manager,139,1,0.004291315488870366
sales rep,138,1,0.004260442715569139
3 4,137,1,0.004229569942267914
cell phone,135,1,0.004167824395665463
customer service,3775,1,0.13368037111795744
home warranty,859,1,0.030418924182867665
warranty company,643,1,0.022769928113601755
home depot,569,1,0.020149438719501398
phone call,519,1,0.018378837777541696
phone calls,514,1,0.018201777683345726
2 weeks,492,1,0.01742271326888346
water heater,483,1,0.017104005099330712
management company,399,1,0.014129395516838415
2 months,394,1,0.013952335422642445
3 days,387,1,0.013704451290768086
