bigram,n,year,star,pec
front desk,1170,2015,2,0.14774592751610052
customer service,521,2015,2,0.06579113524434903
las vegas,344,2015,2,0.043439828261144085
resort fee,339,2015,2,0.042808435408511175
2 stars,198,2015,2,0.025003156964263164
credit card,178,2015,2,0.02247758555373153
30 minutes,166,2015,2,0.02096224270741255
20 minutes,124,2015,2,0.015658542745296124
parking lot,121,2015,2,0.015279707033716379
15 minutes,115,2015,2,0.014522035610556889
10 minutes,106,2015,2,0.013385528475817653
rental car,102,2015,2,0.012880414193711328
desk staff,96,2015,2,0.012122742770551838
hot water,88,2015,2,0.011112514206339184
45 minutes,87,2015,2,0.010986235635812603
coffee maker,86,2015,2,0.010859957065286021
cigarette smoke,83,2015,2,0.010481121353706276
resort fees,77,2015,2,0.009723449930546786
motel 6,76,2015,2,0.009597171360020204
star hotel,76,2015,2,0.009597171360020204
2 hours,75,2015,2,0.009470892789493623
1 star,74,2015,2,0.009344614218967042
mandalay bay,74,2015,2,0.009344614218967042
wi fi,74,2015,2,0.009344614218967042
5 star,71,2015,2,0.008965778507387296
car rental,71,2015,2,0.008965778507387296
parking garage,70,2015,2,0.008839499936860715
walking distance,68,2015,2,0.008586942795807552
free wifi,67,2015,2,0.00846066422528097
5 minutes,65,2015,2,0.008208107084227806
mini bar,64,2015,2,0.008081828513701225
nthe hotel,61,2015,2,0.00770299280212148
air conditioning,60,2015,2,0.007576714231594899
mini fridge,60,2015,2,0.007576714231594899
night stay,60,2015,2,0.007576714231594899
slot machines,60,2015,2,0.007576714231594899
1 2,59,2015,2,0.0074504356610683165
king bed,59,2015,2,0.0074504356610683165
2 star,57,2015,2,0.007197878520015154
casino floor,56,2015,2,0.0070715999494885716
3 times,54,2015,2,0.006819042808435409
2 nights,52,2015,2,0.006566485667382245
circus circus,52,2015,2,0.006566485667382245
water pressure,52,2015,2,0.006566485667382245
bathroom door,50,2015,2,0.006313928526329082
3 hours,48,2015,2,0.006061371385275919
guest services,48,2015,2,0.006061371385275919
prime rib,48,2015,2,0.006061371385275919
time share,48,2015,2,0.006061371385275919
3 nights,47,2015,2,0.005935092814749337
holiday inn,46,2015,2,0.0058088142442227556
hotel casino,45,2015,2,0.005682535673696173
late check,45,2015,2,0.005682535673696173
monte carlo,45,2015,2,0.005682535673696173
multiple times,45,2015,2,0.005682535673696173
air conditioner,44,2015,2,0.005556257103169592
hotel staff,44,2015,2,0.005556257103169592
planet hollywood,44,2015,2,0.005556257103169592
3 days,43,2015,2,0.005429978532643011
cleaning staff,43,2015,2,0.005429978532643011
nthe pool,43,2015,2,0.005429978532643011
shower head,43,2015,2,0.005429978532643011
2 days,42,2015,2,0.0053036999621164285
cell phone,42,2015,2,0.0053036999621164285
half hour,42,2015,2,0.0053036999621164285
strip view,42,2015,2,0.0053036999621164285
toilet paper,42,2015,2,0.0053036999621164285
crab legs,41,2015,2,0.005177421391589847
food court,41,2015,2,0.005177421391589847
5 stars,40,2015,2,0.005051142821063266
breakfast buffet,40,2015,2,0.005051142821063266
hot tub,40,2015,2,0.005051142821063266
king size,40,2015,2,0.005051142821063266
house keeping,39,2015,2,0.0049248642505366836
mgm grand,39,2015,2,0.0049248642505366836
saturday night,39,2015,2,0.0049248642505366836
3 stars,38,2015,2,0.004798585680010102
nice hotel,38,2015,2,0.004798585680010102
shuttle service,38,2015,2,0.004798585680010102
time staying,38,2015,2,0.004798585680010102
24 hours,37,2015,2,0.004672307109483521
4 days,37,2015,2,0.004672307109483521
bed bugs,37,2015,2,0.004672307109483521
convention center,37,2015,2,0.004672307109483521
pretty cool,37,2015,2,0.004672307109483521
2 people,36,2015,2,0.004546028538956939
food options,36,2015,2,0.004546028538956939
nthe bad,36,2015,2,0.004546028538956939
recommend staying,36,2015,2,0.004546028538956939
4 star,35,2015,2,0.004419749968430357
4 stars,35,2015,2,0.004419749968430357
air canada,35,2015,2,0.004419749968430357
free breakfast,35,2015,2,0.004419749968430357
happy hour,35,2015,2,0.004419749968430357
hard rock,35,2015,2,0.004419749968430357
pay extra,35,2015,2,0.004419749968430357
queen beds,35,2015,2,0.004419749968430357
4 nights,34,2015,2,0.004293471397903776
ice machine,34,2015,2,0.004293471397903776
paper thin,34,2015,2,0.004293471397903776
front desk,853,2016,4,0.07230038989659264
las vegas,759,2016,4,0.06433293778606544
customer service,399,2016,4,0.033819291405322936
4 stars,287,2016,4,0.024326156975758604
5 stars,261,2016,4,0.022122393626038312
walking distance,238,2016,4,0.020172910662824207
resort fee,218,2016,4,0.01847770808611629
friendly staff,199,2016,4,0.01686726563824377
highly recommend,190,2016,4,0.016104424478725208
nice hotel,190,2016,4,0.016104424478725208
parking lot,178,2016,4,0.015087302932700457
5 star,161,2016,4,0.013646380742498729
mandalay bay,161,2016,4,0.013646380742498729
hot tub,154,2016,4,0.013053059840650957
free wifi,149,2016,4,0.012629259196473978
food court,144,2016,4,0.012205458552296999
rental car,139,2016,4,0.011781657908120021
nthe hotel,134,2016,4,0.011357857263943042
free breakfast,133,2016,4,0.011273097135107645
wi fi,131,2016,4,0.011103576877436854
mini fridge,129,2016,4,0.010934056619766062
parking garage,129,2016,4,0.010934056619766062
food options,128,2016,4,0.010849296490930666
pleasantly surprised,124,2016,4,0.010510255975589083
super friendly,124,2016,4,0.010510255975589083
slot machines,123,2016,4,0.010425495846753688
15 minutes,115,2016,4,0.00974741481607052
coffee maker,115,2016,4,0.00974741481607052
casino floor,113,2016,4,0.00957789455839973
10 minutes,112,2016,4,0.009493134429564332
valet parking,109,2016,4,0.009238854043058145
breakfast buffet,107,2016,4,0.009069333785387353
time staying,106,2016,4,0.008984573656551958
30 minutes,104,2016,4,0.008815053398881166
car rental,103,2016,4,0.00873029327004577
happy hour,103,2016,4,0.00873029327004577
hotel casino,103,2016,4,0.00873029327004577
fitness center,100,2016,4,0.008476012883539583
lazy river,100,2016,4,0.008476012883539583
5 minutes,98,2016,4,0.008306492625868791
vegas strip,98,2016,4,0.008306492625868791
20 minutes,96,2016,4,0.008136972368197999
pretty nice,96,2016,4,0.008136972368197999
night stay,93,2016,4,0.007882691981691812
top notch,91,2016,4,0.007713171724021021
water pressure,91,2016,4,0.007713171724021021
nthe pool,89,2016,4,0.007543651466350229
planet hollywood,89,2016,4,0.007543651466350229
beautiful hotel,88,2016,4,0.007458891337514833
monte carlo,88,2016,4,0.007458891337514833
nthe staff,88,2016,4,0.007458891337514833
pretty cool,88,2016,4,0.007458891337514833
1 2,87,2016,4,0.007374131208679437
desk staff,86,2016,4,0.007289371079844041
nice clean,86,2016,4,0.007289371079844041
credit card,84,2016,4,0.00711985082217325
free parking,84,2016,4,0.00711985082217325
shuttle service,84,2016,4,0.00711985082217325
king bed,83,2016,4,0.007035090693337854
minute walk,83,2016,4,0.007035090693337854
nice touch,81,2016,4,0.006865570435667062
hotel staff,80,2016,4,0.006780810306831667
resort fees,80,2016,4,0.006780810306831667
strip view,80,2016,4,0.006780810306831667
convention center,79,2016,4,0.006696050177996271
short walk,77,2016,4,0.006526529920325479
flat screen,75,2016,4,0.0063570096626546875
dining options,74,2016,4,0.006272249533819291
nthe casino,74,2016,4,0.006272249533819291
super clean,74,2016,4,0.006272249533819291
mgm grand,73,2016,4,0.006187489404983895
circus circus,72,2016,4,0.006102729276148499
super nice,71,2016,4,0.006017969147313104
conveniently located,70,2016,4,0.005933209018477708
4 star,68,2016,4,0.005763688760806916
continental breakfast,68,2016,4,0.005763688760806916
nice view,68,2016,4,0.005763688760806916
fremont street,67,2016,4,0.005678928631971521
24 hours,66,2016,4,0.005594168503136125
3 nights,66,2016,4,0.005594168503136125
easy access,66,2016,4,0.005594168503136125
late night,66,2016,4,0.005594168503136125
red rock,66,2016,4,0.005594168503136125
shower head,66,2016,4,0.005594168503136125
grand canyon,65,2016,4,0.005509408374300729
hot water,65,2016,4,0.005509408374300729
king size,65,2016,4,0.005509408374300729
2 hours,64,2016,4,0.005424648245465333
centrally located,64,2016,4,0.005424648245465333
sky harbor,63,2016,4,0.005339888116629938
2 nights,61,2016,4,0.0051703678589591455
free shuttle,61,2016,4,0.0051703678589591455
bedroom suite,60,2016,4,0.0050856077301237495
size bed,60,2016,4,0.0050856077301237495
comfortable bed,59,2016,4,0.005000847601288354
gift shop,59,2016,4,0.005000847601288354
comfortable beds,58,2016,4,0.004916087472452958
queen beds,58,2016,4,0.004916087472452958
ice cream,57,2016,4,0.004831327343617562
miracle mile,57,2016,4,0.004831327343617562
las vegas,1508,2016,5,0.09222677512078772
highly recommend,1227,2016,5,0.07504128187878417
customer service,1222,2016,5,0.0747354901840866
front desk,1014,2016,5,0.062014555684667606
top notch,347,2016,5,0.021221943612011497
friendly staff,328,2016,5,0.020059935172160724
tour guide,316,2016,5,0.019326035104886553
5 stars,290,2016,5,0.017735918292459178
5 star,278,2016,5,0.017002018225185003
super friendly,268,2016,5,0.01639043483578986
grand canyon,267,2016,5,0.016329276496850346
walking distance,255,2016,5,0.015595376429576173
rental car,241,2016,5,0.014739159684422971
car rental,225,2016,5,0.01376062626139074
highly recommended,181,2016,5,0.011069659348052107
mandalay bay,175,2016,5,0.010702709314415021
amazing experience,166,2016,5,0.01015228426395939
excellent service,166,2016,5,0.01015228426395939
super nice,166,2016,5,0.01015228426395939
vegas strip,162,2016,5,0.009907650908201334
nthe staff,147,2016,5,0.008990275824108617
10 minutes,146,2016,5,0.008929117485169103
hot tub,143,2016,5,0.00874564246835056
5 minutes,141,2016,5,0.008623325790471531
free breakfast,138,2016,5,0.008439850773652988
happy hour,134,2016,5,0.00819521741789493
desk staff,133,2016,5,0.008134059078955416
red rock,130,2016,5,0.007950584062136872
