bigram,n,year,star,pec
las vegas,135,2018,4,0.06056527590847914
happy hour,69,2018,4,0.03095558546433378
highly recommend,68,2018,4,0.03050695379093764
ice cream,65,2018,4,0.029161058770749215
fremont street,57,2018,4,0.02557200538358008
4 stars,47,2018,4,0.021085688649618663
cirque du,47,2018,4,0.021085688649618663
du soleil,46,2018,4,0.02063705697622252
5 stars,44,2018,4,0.01973979362943024
gift shop,40,2018,4,0.01794526693584567
parking lot,38,2018,4,0.01704800358905339
live music,34,2018,4,0.01525347689546882
cactus garden,33,2018,4,0.014804845222072678
chicken sandwich,31,2018,4,0.013907581875280395
outdoor seating,30,2018,4,0.013458950201884253
coca cola,28,2018,4,0.01256168685509197
tour guide,28,2018,4,0.01256168685509197
people watching,26,2018,4,0.011664423508299685
super friendly,26,2018,4,0.011664423508299685
customer service,25,2018,4,0.011215791834903545
neon museum,25,2018,4,0.011215791834903545
pretty cool,25,2018,4,0.011215791834903545
cheese curds,24,2018,4,0.010767160161507403
friendly staff,24,2018,4,0.010767160161507403
chopped salad,23,2018,4,0.01031852848811126
pad thai,23,2018,4,0.01031852848811126
red rock,23,2018,4,0.01031852848811126
onion rings,22,2018,4,0.00986989681471512
friday night,21,2018,4,0.009421265141318977
nthe food,21,2018,4,0.009421265141318977
pleasantly surprised,21,2018,4,0.009421265141318977
pulled pork,21,2018,4,0.009421265141318977
saturday night,21,2018,4,0.009421265141318977
20 minutes,20,2018,4,0.008972633467922835
food trucks,20,2018,4,0.008972633467922835
french toast,20,2018,4,0.008972633467922835
gluten free,20,2018,4,0.008972633467922835
guided tour,20,2018,4,0.008972633467922835
red rice,20,2018,4,0.008972633467922835
4 5,19,2018,4,0.008524001794526694
5 star,19,2018,4,0.008524001794526694
cooked perfectly,19,2018,4,0.008524001794526694
date night,19,2018,4,0.008524001794526694
fried rice,19,2018,4,0.008524001794526694
friendly service,19,2018,4,0.008524001794526694
pork belly,19,2018,4,0.008524001794526694
1 2,18,2018,4,0.008075370121130552
chocolate tasting,18,2018,4,0.008075370121130552
coffee shop,18,2018,4,0.008075370121130552
farmers market,18,2018,4,0.008075370121130552
zip line,18,2018,4,0.008075370121130552
family friendly,17,2018,4,0.00762673844773441
food truck,17,2018,4,0.00762673844773441
street performers,17,2018,4,0.00762673844773441
45 minutes,16,2018,4,0.007178106774338268
container park,16,2018,4,0.007178106774338268
french fries,16,2018,4,0.007178106774338268
grilled cheese,16,2018,4,0.007178106774338268
mexican food,16,2018,4,0.007178106774338268
people watch,16,2018,4,0.007178106774338268
street experience,16,2018,4,0.007178106774338268
15 minutes,15,2018,4,0.006729475100942127
30 minutes,15,2018,4,0.006729475100942127
garlic fries,15,2018,4,0.006729475100942127
liberty market,15,2018,4,0.006729475100942127
music playing,15,2018,4,0.006729475100942127
nthe service,15,2018,4,0.006729475100942127
rock canyon,15,2018,4,0.006729475100942127
short ribs,15,2018,4,0.006729475100942127
super nice,15,2018,4,0.006729475100942127
vegas strip,15,2018,4,0.006729475100942127
bit pricey,14,2018,4,0.006280843427545985
chocolate factory,14,2018,4,0.006280843427545985
food vendors,14,2018,4,0.006280843427545985
neon signs,14,2018,4,0.006280843427545985
portion size,14,2018,4,0.006280843427545985
wait time,14,2018,4,0.006280843427545985
beer selection,13,2018,4,0.005832211754149843
dining experience,13,2018,4,0.005832211754149843
food options,13,2018,4,0.005832211754149843
noodle soup,13,2018,4,0.005832211754149843
nthe staff,13,2018,4,0.005832211754149843
spice level,13,2018,4,0.005832211754149843
top notch,13,2018,4,0.005832211754149843
wide variety,13,2018,4,0.005832211754149843
breakfast sandwich,12,2018,4,0.005383580080753701
carne asada,12,2018,4,0.005383580080753701
free parking,12,2018,4,0.005383580080753701
fun time,12,2018,4,0.005383580080753701
le reve,12,2018,4,0.005383580080753701
menu items,12,2018,4,0.005383580080753701
root beer,12,2018,4,0.005383580080753701
sin city,12,2018,4,0.005383580080753701
thai food,12,2018,4,0.005383580080753701
bbq chicken,11,2018,4,0.00493494840735756
delicious food,11,2018,4,0.00493494840735756
farm grill,11,2018,4,0.00493494840735756
hot chocolate,11,2018,4,0.00493494840735756
joe's farm,11,2018,4,0.00493494840735756
locally sourced,11,2018,4,0.00493494840735756
customer service,123,2015,1,0.09283018867924528
hot chocolate,51,2015,1,0.038490566037735846
10 minutes,45,2015,1,0.033962264150943396
ice cream,44,2015,1,0.03320754716981132
frozen hot,41,2015,1,0.030943396226415093
las vegas,36,2015,1,0.027169811320754716
20 minutes,33,2015,1,0.02490566037735849
30 minutes,32,2015,1,0.024150943396226414
15 minutes,28,2015,1,0.021132075471698115
45 minutes,26,2015,1,0.019622641509433963
cafe rio,23,2015,1,0.017358490566037735
bad service,20,2015,1,0.01509433962264151
parking lot,20,2015,1,0.01509433962264151
horrible service,17,2015,1,0.012830188679245283
1 star,16,2015,1,0.012075471698113207
2 hours,16,2015,1,0.012075471698113207
credit card,16,2015,1,0.012075471698113207
3 times,15,2015,1,0.011320754716981131
minute wait,15,2015,1,0.011320754716981131
worst service,15,2015,1,0.011320754716981131
0 stars,14,2015,1,0.010566037735849057
25 minutes,14,2015,1,0.010566037735849057
horrible experience,14,2015,1,0.010566037735849057
terrible service,14,2015,1,0.010566037735849057
