bigram,n,year,star,pec
customer service,247,2017,2,0.14368819080860964
2 stars,70,2017,2,0.04072134962187318
post office,49,2017,2,0.028504944735311226
30 minutes,45,2017,2,0.02617801047120419
20 minutes,40,2017,2,0.02326934264107039
2 hours,32,2017,2,0.01861547411285631
10 minutes,31,2017,2,0.018033740546829553
2 weeks,29,2017,2,0.01687027341477603
credit card,28,2017,2,0.016288539848749273
15 minutes,27,2017,2,0.015706806282722512
1 2,25,2017,2,0.014543339150668994
apple store,25,2017,2,0.014543339150668994
phone call,25,2017,2,0.014543339150668994
1 star,23,2017,2,0.013379872018615475
5 minutes,23,2017,2,0.013379872018615475
5 star,21,2017,2,0.012216404886561954
front desk,21,2017,2,0.012216404886561954
business cards,20,2017,2,0.011634671320535195
3 weeks,19,2017,2,0.011052937754508435
dry cleaning,19,2017,2,0.011052937754508435
office staff,19,2017,2,0.011052937754508435
home warranty,18,2017,2,0.010471204188481676
multiple times,18,2017,2,0.010471204188481676
ni called,18,2017,2,0.010471204188481676
10 days,17,2017,2,0.009889470622454915
cell phone,17,2017,2,0.009889470622454915
dry cleaner,17,2017,2,0.009889470622454915
hot water,16,2017,2,0.009307737056428156
phone calls,16,2017,2,0.009307737056428156
2 days,15,2017,2,0.008726003490401396
4 hours,15,2017,2,0.008726003490401396
front office,15,2017,2,0.008726003490401396
3 hours,14,2017,2,0.008144269924374637
3 months,14,2017,2,0.008144269924374637
days ago,14,2017,2,0.008144269924374637
pest control,14,2017,2,0.008144269924374637
3 times,13,2017,2,0.0075625363583478765
45 minutes,13,2017,2,0.0075625363583478765
las vegas,13,2017,2,0.0075625363583478765
months ago,13,2017,2,0.0075625363583478765
storage unit,13,2017,2,0.0075625363583478765
tempered glass,13,2017,2,0.0075625363583478765
water heater,13,2017,2,0.0075625363583478765
2 3,12,2017,2,0.006980802792321117
2 months,12,2017,2,0.006980802792321117
3 days,12,2017,2,0.006980802792321117
4 days,12,2017,2,0.006980802792321117
6 months,12,2017,2,0.006980802792321117
bad experience,12,2017,2,0.006980802792321117
iphone 6,12,2017,2,0.006980802792321117
service call,12,2017,2,0.006980802792321117
wedding dress,12,2017,2,0.006980802792321117
weeks ago,12,2017,2,0.006980802792321117
40 minutes,11,2017,2,0.006399069226294357
5 stars,11,2017,2,0.006399069226294357
carpet cleaning,11,2017,2,0.006399069226294357
front door,11,2017,2,0.006399069226294357
half hour,11,2017,2,0.006399069226294357
sales person,11,2017,2,0.006399069226294357
screen protector,11,2017,2,0.006399069226294357
warranty company,11,2017,2,0.006399069226294357
week ago,11,2017,2,0.006399069226294357
24 hours,10,2017,2,0.005817335660267597
4 times,10,2017,2,0.005817335660267597
48 hours,10,2017,2,0.005817335660267597
business hours,10,2017,2,0.005817335660267597
cracked screen,10,2017,2,0.005817335660267597
glass screen,10,2017,2,0.005817335660267597
iphone 7,10,2017,2,0.005817335660267597
moving company,10,2017,2,0.005817335660267597
nice guy,10,2017,2,0.005817335660267597
poor customer,10,2017,2,0.005817335660267597
screen replaced,10,2017,2,0.005817335660267597
story short,10,2017,2,0.005817335660267597
