bigram,n,star,pec
las vegas,14,4,0.06572769953051644
drunken idiots,6,4,0.028169014084507043
vegas strip,6,4,0.028169014084507043
xmas tree,6,4,0.028169014084507043
mandalay bay,4,4,0.018779342723004695
street performers,4,4,0.018779342723004695
tex mex,4,4,0.018779342723004695
xmas trees,4,4,0.018779342723004695
86 ed,3,4,0.014084507042253521
bellagio fountain,3,4,0.014084507042253521
character limit,3,4,0.014084507042253521
homeless people,3,4,0.014084507042253521
mexican food,3,4,0.014084507042253521
mgm grand,3,4,0.014084507042253521
museum upstairs,3,4,0.014084507042253521
radio station,3,4,0.014084507042253521
radio stations,3,4,0.014084507042253521
strip clubs,3,4,0.014084507042253521
top 40,3,4,0.014084507042253521
winter wonderland,3,4,0.014084507042253521
world class,3,4,0.014084507042253521
15 minutes,2,4,0.009389671361502348
4 stars,2,4,0.009389671361502348
adventure begins,2,4,0.009389671361502348
celine dion,2,4,0.009389671361502348
christmas adventure,2,4,0.009389671361502348
christmas tree,2,4,0.009389671361502348
clark county,2,4,0.009389671361502348
cold alcohol,2,4,0.009389671361502348
comfortable shoes,2,4,0.009389671361502348
constant reminder,2,4,0.009389671361502348
customer service,2,4,0.009389671361502348
day time,2,4,0.009389671361502348
dining experience,2,4,0.009389671361502348
edition review,2,4,0.009389671361502348
forum shops,2,4,0.009389671361502348
graphic novels,2,4,0.009389671361502348
green light,2,4,0.009389671361502348
happy hour,2,4,0.009389671361502348
hike leads,2,4,0.009389671361502348
hotels casinos,2,4,0.009389671361502348
landmark christmas,2,4,0.009389671361502348
love hate,2,4,0.009389671361502348
mainstream media,2,4,0.009389671361502348
manhattan project,2,4,0.009389671361502348
mex food,2,4,0.009389671361502348
minimum purchase,2,4,0.009389671361502348
monte carlo,2,4,0.009389671361502348
na lot,2,4,0.009389671361502348
ni'm glad,2,4,0.009389671361502348
nlas vegas,2,4,0.009389671361502348
people watching,2,4,0.009389671361502348
polaroid fotobar,2,4,0.009389671361502348
polaroid museum,2,4,0.009389671361502348
print photos,2,4,0.009389671361502348
properties forever,2,4,0.009389671361502348
public spaces,2,4,0.009389671361502348
segment called,2,4,0.009389671361502348
shape hotel,2,4,0.009389671361502348
sin city,2,4,0.009389671361502348
spinach enchiladas,2,4,0.009389671361502348
strip corridor,2,4,0.009389671361502348
times square,2,4,0.009389671361502348
top hits,2,4,0.009389671361502348
treasure island,2,4,0.009389671361502348
tree stands,2,4,0.009389671361502348
veggie fajitas,2,4,0.009389671361502348
wear comfortable,2,4,0.009389671361502348
1 drunken,1,4,0.004694835680751174
1 minimum,1,4,0.004694835680751174
1 yr,1,4,0.004694835680751174
1000 degrees,1,4,0.004694835680751174
15 min,1,4,0.004694835680751174
1500 days,1,4,0.004694835680751174
1931 nhotels,1,4,0.004694835680751174
1946 nhowver,1,4,0.004694835680751174
2 3,1,4,0.004694835680751174
2 christmas,1,4,0.004694835680751174
2 drunken,1,4,0.004694835680751174
20 25,1,4,0.004694835680751174
20 deal,1,4,0.004694835680751174
2017 bright,1,4,0.004694835680751174
24 episodes,1,4,0.004694835680751174
25 mins,1,4,0.004694835680751174
25 minutes,1,4,0.004694835680751174
26th 1946,1,4,0.004694835680751174
3 drunken,1,4,0.004694835680751174
3 seasons,1,4,0.004694835680751174
3 xmas,1,4,0.004694835680751174
4 5,1,4,0.004694835680751174
4 polaroids,1,4,0.004694835680751174
4 times,1,4,0.004694835680751174
4.5 stars,1,4,0.004694835680751174
40 ideal,1,4,0.004694835680751174
5 lanes,1,4,0.004694835680751174
5 stars,1,4,0.004694835680751174
6 picture,1,4,0.004694835680751174
9 month,1,4,0.004694835680751174
abc stores,1,4,0.004694835680751174
absolutely packed,1,4,0.004694835680751174
las vegas,17,4,0.09289617486338798
vegas strip,6,4,0.03278688524590164
highly recommend,4,4,0.02185792349726776
