bigram,n,star,pec
customer service,1514,1,0.06331284238698616
10 minutes,1082,1,0.0452473549951909
15 minutes,1053,1,0.04403462551750094
20 minutes,1019,1,0.042612804750554095
30 minutes,753,1,0.03148914816208757
happy hour,649,1,0.027140049345544266
45 minutes,500,1,0.020909128925688955
las vegas,489,1,0.0204491280893238
worst service,485,1,0.020281855057918286
horrible service,478,1,0.019989127252958643
5 minutes,464,1,0.019403671643039352
terrible service,416,1,0.01739639526617321
front desk,406,1,0.016978212687659432
bad service,396,1,0.016560030109145654
1 star,383,1,0.01601639275707774
wait staff,369,1,0.015430937147158449
poor service,368,1,0.015389118889307071
2 hours,327,1,0.013674570317400577
saturday night,320,1,0.013381842512440931
40 minutes,302,1,0.01262911387111613
credit card,302,1,0.01262911387111613
friday night,287,1,0.01200184000334546
worst experience,276,1,0.011541839166980303
nthe food,275,1,0.011500020909128926
1 2,265,1,0.011081838330615146
bad experience,264,1,0.011040020072763768
horrible experience,245,1,0.010245473173587588
3 times,240,1,0.0100363818843307
food poisoning,229,1,0.009576381047965541
dance floor,223,1,0.009325471500857274
25 minutes,215,1,0.00899092543804625
minute wait,215,1,0.00899092543804625
ten minutes,215,1,0.00899092543804625
dining experience,210,1,0.008781834148789362
bar tender,199,1,0.008321833312424205
slow service,193,1,0.008070923765315936
extremely rude,189,1,0.007903650733910425
eye contact,189,1,0.007903650733910425
medium rare,187,1,0.007820014218207669
security guard,170,1,0.007109103834734245
half hour,167,1,0.006983649061180111
multiple times,166,1,0.006941830803328733
onion rings,166,1,0.006941830803328733
mexican food,164,1,0.0068581942876259775
20 min,160,1,0.006690921256220466
parking lot,156,1,0.006523648224814954
prime rib,155,1,0.006481829966963577
terrible experience,155,1,0.006481829966963577
bottle service,153,1,0.00639819345126082
0 stars,151,1,0.006314556935558065
sports bar,150,1,0.006272738677706687
bad food,147,1,0.006147283904152553
15 mins,146,1,0.006105465646301175
french fries,144,1,0.0060218291305984195
10 mins,142,1,0.005938192614895663
mashed potatoes,140,1,0.005854556099192908
10 min,139,1,0.0058127378413415295
15 min,138,1,0.005770919583490151
wait time,137,1,0.005729101325638774
30 min,135,1,0.005645464809936018
entire time,135,1,0.005645464809936018
food arrived,133,1,0.005561828294233262
chicken wings,132,1,0.005520010036381884
empty tables,132,1,0.005520010036381884
extremely disappointed,132,1,0.005520010036381884
20 mins,131,1,0.005478191778530506
1 hour,128,1,0.005352737004976372
food quality,127,1,0.005310918747124995
10 15,126,1,0.005269100489273617
nthe service,125,1,0.005227282231422239
olive garden,125,1,0.005227282231422239
worst customer,125,1,0.005227282231422239
beer selection,124,1,0.005185463973570861
weeks ago,123,1,0.005143645715719483
gift card,121,1,0.005060009200016727
bar food,120,1,0.00501819094216535
service industry,120,1,0.00501819094216535
30 mins,118,1,0.004934554426462593
ice cream,115,1,0.00480909965290846
5 stars,112,1,0.004683644879354326
front door,112,1,0.004683644879354326
fast food,109,1,0.0045581901058001926
3 4,108,1,0.004516371847948814
fish tacos,106,1,0.004432735332246059
food service,104,1,0.004349098816543303
absolutely horrible,103,1,0.004307280558691925
absolutely terrible,103,1,0.004307280558691925
chicken sandwich,103,1,0.004307280558691925
service food,102,1,0.004265462300840547
2 people,101,1,0.004223644042989169
cover charge,101,1,0.004223644042989169
resort fee,101,1,0.004223644042989169
security guards,100,1,0.004181825785137791
caesar salad,99,1,0.0041400075272864136
gluten free,99,1,0.0041400075272864136
hour wait,98,1,0.004098189269435035
terrible food,98,1,0.004098189269435035
hard rock,97,1,0.004056371011583657
star review,97,1,0.004056371011583657
fried chicken,96,1,0.00401455275373228
customer service,1859,1,0.06639997142550988
10 minutes,1279,1,0.04568346608565203
20 minutes,1252,1,0.044719077043969
15 minutes,1244,1,0.04443333214272958
30 minutes,901,1,0.03218201950208951
happy hour,739,1,0.026395685251991284
45 minutes,603,1,0.02153802193092117
worst service,576,1,0.020573632889238132
5 minutes,568,1,0.020287887987998715
terrible service,546,1,0.019502089509590315
horrible service,542,1,0.019359217058970604
las vegas,509,1,0.018180519341358004
bad service,449,1,0.016037432582062364
1 star,448,1,0.016001714469407437
poor service,430,1,0.015358788441618745
front desk,415,1,0.014823016751794834
2 hours,403,1,0.014394399399935708
worst experience,395,1,0.014108654498696289
saturday night,391,1,0.01396578204807658
credit card,388,1,0.013858627710111798
wait staff,387,1,0.01382290959745687
bad experience,348,1,0.012429903203914705
friday night,337,1,0.012037003964710505
40 minutes,331,1,0.011822695288780941
3 times,294,1,0.01050112512054863
horrible experience,291,1,0.010393970782583849
1 2,286,1,0.010215380219309211
nthe food,279,1,0.009965353430724721
25 minutes,256,1,0.009143836839661391
food poisoning,251,1,0.008965246276386755
dining experience,246,1,0.008786655713112119
minute wait,240,1,0.008572347037182555
slow service,235,1,0.008393756473907919
medium rare,231,1,0.00825088402328821
ten minutes,228,1,0.008143729685323427
multiple times,227,1,0.0081080115726685
extremely rude,225,1,0.008036575347358646
terrible experience,215,1,0.0076793942208093725
parking lot,211,1,0.007536521770189663
0 stars,210,1,0.007500803657534736
eye contact,206,1,0.007357931206915027
bar tender,203,1,0.007250776868950245
10 mins,202,1,0.007215058756295317
dance floor,201,1,0.00717934064364039
empty tables,198,1,0.007072186305675608
20 mins,195,1,0.006965031967710826
security guard,188,1,0.006715005179126335
30 mins,182,1,0.006500696503196771
15 mins,180,1,0.006429260277886917
mexican food,176,1,0.006286387827267207
15 min,175,1,0.00625066971461228
sports bar,173,1,0.006179233489302425
20 min,172,1,0.006143515376647498
french fries,171,1,0.006107797263992571
entire time,169,1,0.006036361038682716
30 min,168,1,0.006000642926027789
food quality,168,1,0.006000642926027789
onion rings,161,1,0.005750616137443297
bottle service,158,1,0.005643461799478515
worst customer,158,1,0.005643461799478515
chicken wings,153,1,0.005464871236203879
1 hour,150,1,0.005357716898239097
chicken sandwich,148,1,0.005286280672929243
half hour,146,1,0.0052148444476193875
olive garden,144,1,0.005143408222309533
10 min,141,1,0.005036253884344751
food arrived,139,1,0.004964817659034897
guest list,139,1,0.004964817659034897
3 hours,138,1,0.004929099546379969
bad food,138,1,0.004929099546379969
10 15,137,1,0.004893381433725042
extremely disappointed,136,1,0.004857663321070115
service industry,136,1,0.004857663321070115
prime rib,134,1,0.00478622709576026
5 stars,133,1,0.004750508983105333
hour wait,131,1,0.004679072757795478
wait time,131,1,0.004679072757795478
front door,130,1,0.004643354645140551
caesar salad,129,1,0.004607636532485623
dress code,129,1,0.004607636532485623
mediocre food,128,1,0.004571918419830696
gift card,127,1,0.004536200307175769
horrible food,127,1,0.004536200307175769
months ago,127,1,0.004536200307175769
food service,126,1,0.004500482194520841
weeks ago,121,1,0.004321891631246205
horrible customer,120,1,0.0042861735185912775
ice cream,120,1,0.0042861735185912775
5 star,119,1,0.004250455405936351
wild wings,118,1,0.004214737293281423
mashed potatoes,117,1,0.0041790191806264955
beer selection,116,1,0.004143301067971569
15 20,115,1,0.004107582955316641
fish tacos,115,1,0.004107582955316641
nthe service,115,1,0.004107582955316641
story short,113,1,0.004036146730006787
negative stars,112,1,0.004000428617351859
fast food,111,1,0.003964710504696932
terrible food,110,1,0.003928992392042005
45 mins,109,1,0.0038932742793870772
happy hour,4544,5,0.06394236181470224
highly recommend,4368,5,0.061465721040189124
las vegas,2882,5,0.04055499268265226
customer service,1959,5,0.027566700439040866
beer selection,1560,5,0.021952043228638973
top notch,1500,5,0.02110773387369132
5 stars,1474,5,0.02074186648654734
friendly staff,1437,5,0.020221209050996284
super friendly,1309,5,0.01842001576044129
amazing food,1196,5,0.016829899808623212
live music,1139,5,0.016027805921422944
excellent service,1137,5,0.01599966227625802
dining experience,1014,5,0.014268828098615332
nthe food,1004,5,0.014128109872790723
ice cream,987,5,0.013888888888888888
fried chicken,979,5,0.013776314308229202
delicious food,956,5,0.013452662388832602
mexican food,954,5,0.01342451874366768
date night,949,5,0.013354159630755376
wait staff,947,5,0.013326015985590453
pork belly,861,5,0.012115839243498818
highly recommended,844,5,0.011876618259596983
love love,769,5,0.010821231565912416
excellent food,754,5,0.010610154227175504
sweet potato,750,5,0.01055386693684566
cooked perfectly,747,5,0.010511651469098278
saturday night,739,5,0.01039907688843859
friday night,723,5,0.010173927727119217
friendly service,714,5,0.01004728132387707
hidden gem,704,5,0.00990656309805246
5 star,702,5,0.009878419452887538
amazing service,685,5,0.009639198468985703
bloody mary,665,5,0.009357762017336485
