bigram,n,star,pec
customer service,37,4,0.0397422126745435
5 stars,34,4,0.036519871106337275
front desk,34,4,0.036519871106337275
dog food,31,4,0.03329752953813104
4 stars,27,4,0.02900107411385607
friendly staff,27,4,0.02900107411385607
animal hospital,24,4,0.02577873254564984
dog park,23,4,0.024704618689581095
super friendly,22,4,0.023630504833512353
highly recommend,20,4,0.021482277121374866
pet store,19,4,0.02040816326530612
parking lot,18,4,0.01933404940923738
las vegas,16,4,0.017185821697099892
fur baby,15,4,0.01611170784103115
desk staff,14,4,0.015037593984962405
nails trimmed,14,4,0.015037593984962405
vet tech,14,4,0.015037593984962405
nail trim,12,4,0.01288936627282492
30 minutes,11,4,0.011815252416756176
cat loft,11,4,0.011815252416756176
fur babies,11,4,0.011815252416756176
nthe staff,11,4,0.011815252416756176
pet stores,11,4,0.011815252416756176
3 hours,10,4,0.010741138560687433
super nice,10,4,0.010741138560687433
2 hours,9,4,0.00966702470461869
car wash,9,4,0.00966702470461869
day care,9,4,0.00966702470461869
dog loves,9,4,0.00966702470461869
dog wash,9,4,0.00966702470461869
grooming services,9,4,0.00966702470461869
humane society,9,4,0.00966702470461869
1 2,8,4,0.008592910848549946
15 minutes,8,4,0.008592910848549946
5 star,8,4,0.008592910848549946
cat food,8,4,0.008592910848549946
wet food,8,4,0.008592910848549946
2 months,7,4,0.007518796992481203
blow dryer,7,4,0.007518796992481203
bow wow,7,4,0.007518796992481203
pet food,7,4,0.007518796992481203
pet smart,7,4,0.007518796992481203
taking care,7,4,0.007518796992481203
24 7,6,4,0.00644468313641246
5 minutes,6,4,0.00644468313641246
ann road,6,4,0.00644468313641246
bit pricey,6,4,0.00644468313641246
box stores,6,4,0.00644468313641246
camp bow,6,4,0.00644468313641246
cat litter,6,4,0.00644468313641246
credit card,6,4,0.00644468313641246
dr sultan,6,4,0.00644468313641246
fantastic job,6,4,0.00644468313641246
front office,6,4,0.00644468313641246
knowledgeable staff,6,4,0.00644468313641246
love dr,6,4,0.00644468313641246
negative reviews,6,4,0.00644468313641246
nice staff,6,4,0.00644468313641246
office visit,6,4,0.00644468313641246
pet resort,6,4,0.00644468313641246
play time,6,4,0.00644468313641246
pleasant experience,6,4,0.00644468313641246
rabies shot,6,4,0.00644468313641246
report card,6,4,0.00644468313641246
rewards program,6,4,0.00644468313641246
vet techs,6,4,0.00644468313641246
wait time,6,4,0.00644468313641246
walk ins,6,4,0.00644468313641246
20 minutes,5,4,0.0053705692803437165
24 hours,5,4,0.0053705692803437165
3 1,5,4,0.0053705692803437165
4 star,5,4,0.0053705692803437165
amazing job,5,4,0.0053705692803437165
beer selection,5,4,0.0053705692803437165
boarding facility,5,4,0.0053705692803437165
check ups,5,4,0.0053705692803437165
clean facility,5,4,0.0053705692803437165
dog parks,5,4,0.0053705692803437165
ear infection,5,4,0.0053705692803437165
excellent job,5,4,0.0053705692803437165
food toys,5,4,0.0053705692803437165
front door,5,4,0.0053705692803437165
hair cut,5,4,0.0053705692803437165
home happy,5,4,0.0053705692803437165
hot chocolate,5,4,0.0053705692803437165
job grooming,5,4,0.0053705692803437165
kennel cough,5,4,0.0053705692803437165
love animals,5,4,0.0053705692803437165
loyalty program,5,4,0.0053705692803437165
nail trims,5,4,0.0053705692803437165
ni love,5,4,0.0053705692803437165
nthe vet,5,4,0.0053705692803437165
office staff,5,4,0.0053705692803437165
pet care,5,4,0.0053705692803437165
pet hospital,5,4,0.0053705692803437165
pet insurance,5,4,0.0053705692803437165
pet products,5,4,0.0053705692803437165
petting zoo,5,4,0.0053705692803437165
shetland sheepdog,5,4,0.0053705692803437165
short haired,5,4,0.0053705692803437165
highly recommend,936,5,0.10292500549813063
animal hospital,656,5,0.07213547393886079
customer service,355,5,0.039036727512645704
front desk,215,5,0.023641961733010777
fur babies,200,5,0.021992522542335607
dog food,167,5,0.01836375632285023
las vegas,165,5,0.018143831097426875
super friendly,165,5,0.018143831097426875
entire staff,156,5,0.01715416758302177
fur baby,155,5,0.017044204970310093
friendly staff,140,5,0.015394765779634924
top notch,131,5,0.014405102265229822
taking care,126,5,0.013855289201671431
vet tech,126,5,0.013855289201671431
absolutely love,121,5,0.013305476138113042
day care,120,5,0.013195513525401364
amazing job,116,5,0.012755663074554651
highly recommended,116,5,0.012755663074554651
5 stars,112,5,0.01231581262370794
feel comfortable,111,5,0.012205850010996262
pet store,101,5,0.01110622388387948
love love,92,5,0.010116560369474378
bow wow,87,5,0.00956674730591599
regular vet,85,5,0.009346822080492633
dog park,84,5,0.009236859467780955
office staff,84,5,0.009236859467780955
excellent care,82,5,0.009016934242357598
shih tzu,80,5,0.008797009016934242
animal clinic,78,5,0.008577083791510886
nail trim,78,5,0.008577083791510886
vet clinic,78,5,0.008577083791510886
camp bow,77,5,0.008467121178799207
fantastic job,75,5,0.008247195953375853
nthe staff,75,5,0.008247195953375853
dog training,74,5,0.008137233340664175
love animals,74,5,0.008137233340664175
dog loves,73,5,0.008027270727952496
excellent job,73,5,0.008027270727952496
2 dogs,71,5,0.00780734550252914
super nice,71,5,0.00780734550252914
pet care,70,5,0.007697382889817462
pet hospital,70,5,0.007697382889817462
months ago,68,5,0.007477457664394106
recently moved,68,5,0.007477457664394106
recommend dr,66,5,0.00725753243897075
vet techs,65,5,0.007147569826259072
1 2,64,5,0.007037607213547394
love dr,64,5,0.007037607213547394
ni highly,64,5,0.007037607213547394
pet sitter,64,5,0.007037607213547394
vet dr,64,5,0.007037607213547394
wonderful job,63,5,0.0069276446008357155
golden retriever,62,5,0.006817681988124038
weeks ago,62,5,0.006817681988124038
german shepherd,61,5,0.00670771937541236
extremely friendly,60,5,0.006597756762700682
absolutely amazing,59,5,0.006487794149989004
veterinary clinic,58,5,0.0063778315372773255
dogs love,56,5,0.00615790631185397
short notice,56,5,0.00615790631185397
extremely helpful,55,5,0.006047943699142292
nails trimmed,54,5,0.005937981086430614
5 star,53,5,0.0058280184737189355
loves animals,53,5,0.0058280184737189355
phone call,53,5,0.0058280184737189355
2 hours,52,5,0.005718055861007257
desk staff,52,5,0.005718055861007257
excellent service,52,5,0.005718055861007257
pet food,52,5,0.005718055861007257
bad experience,50,5,0.005498130635583902
pet owner,50,5,0.005498130635583902
awesome job,49,5,0.005388168022872224
pet owners,49,5,0.005388168022872224
pet resort,48,5,0.0052782054101605455
pet sitting,48,5,0.0052782054101605455
2 weeks,47,5,0.005168242797448867
grooming services,47,5,0.005168242797448867
vet office,47,5,0.005168242797448867
super clean,46,5,0.005058280184737189
24 7,45,5,0.004948317572025511
comfortable leaving,45,5,0.004948317572025511
dog wash,45,5,0.004948317572025511
parking lot,45,5,0.004948317572025511
teeth cleaning,44,5,0.004838354959313834
30 minutes,43,5,0.0047283923466021555
emergency vet,43,5,0.0047283923466021555
health issues,43,5,0.0047283923466021555
park animal,43,5,0.0047283923466021555
reasonable price,43,5,0.0047283923466021555
extremely knowledgeable,42,5,0.004618429733890477
nmy dog,42,5,0.004618429733890477
rainbow bridge,42,5,0.004618429733890477
super helpful,42,5,0.004618429733890477
veterinary care,42,5,0.004618429733890477
pet stores,41,5,0.004508467121178799
separation anxiety,41,5,0.004508467121178799
wonderful experience,41,5,0.004508467121178799
10 stars,40,5,0.004398504508467121
amazing care,40,5,0.004398504508467121
finally found,40,5,0.004398504508467121
customer service,26,3,0.04498269896193772
3 stars,23,3,0.039792387543252594
dog food,20,3,0.03460207612456748
front desk,18,3,0.031141868512110725
dog park,16,3,0.02768166089965398
pet store,12,3,0.020761245674740483
15 minutes,11,3,0.01903114186851211
kennel cough,11,3,0.01903114186851211
5 stars,10,3,0.01730103806228374
30 minutes,9,3,0.015570934256055362
adoption center,9,3,0.015570934256055362
animal hospital,9,3,0.015570934256055362
cat food,9,3,0.015570934256055362
free shipping,9,3,0.015570934256055362
ghost town,8,3,0.01384083044982699
nail trim,8,3,0.01384083044982699
parking lot,8,3,0.01384083044982699
pet stores,8,3,0.01384083044982699
red rock,8,3,0.01384083044982699
wait time,8,3,0.01384083044982699
2 hours,7,3,0.012110726643598616
20 minutes,7,3,0.012110726643598616
desk staff,7,3,0.012110726643598616
vet tech,7,3,0.012110726643598616
1 2,6,3,0.010380622837370242
akc registered,6,3,0.010380622837370242
cat attract,6,3,0.010380622837370242
dog toys,6,3,0.010380622837370242
mixed feelings,6,3,0.010380622837370242
pet food,6,3,0.010380622837370242
phone call,6,3,0.010380622837370242
regular vet,6,3,0.010380622837370242
24 7,5,3,0.00865051903114187
3 days,5,3,0.00865051903114187
3 hours,5,3,0.00865051903114187
45 minutes,5,3,0.00865051903114187
5 star,5,3,0.00865051903114187
blue buffalo,5,3,0.00865051903114187
bonnie springs,5,3,0.00865051903114187
credit card,5,3,0.00865051903114187
dog grooming,5,3,0.00865051903114187
dr elsey's,5,3,0.00865051903114187
dr hoban,5,3,0.00865051903114187
elsey's cat,5,3,0.00865051903114187
nice people,5,3,0.00865051903114187
pet owner,5,3,0.00865051903114187
poor dog,5,3,0.00865051903114187
10 minutes,4,3,0.006920415224913495
15 20,4,3,0.006920415224913495
adorable animals,4,3,0.006920415224913495
allergic reaction,4,3,0.006920415224913495
