bigram,n,year,star,pec
customer service,110,2017,2,0.13447432762836187
front desk,40,2017,2,0.0488997555012225
30 minutes,23,2017,2,0.028117359413202935
2 stars,19,2017,2,0.023227383863080684
20 minutes,19,2017,2,0.023227383863080684
las vegas,16,2017,2,0.019559902200488997
10 minutes,13,2017,2,0.01589242053789731
3 hours,13,2017,2,0.01589242053789731
credit card,13,2017,2,0.01589242053789731
2 days,12,2017,2,0.014669926650366748
phone call,12,2017,2,0.014669926650366748
2 hours,11,2017,2,0.013447432762836185
internet service,11,2017,2,0.013447432762836185
2 weeks,10,2017,2,0.012224938875305624
direct tv,10,2017,2,0.012224938875305624
nail tech,10,2017,2,0.012224938875305624
renters warehouse,10,2017,2,0.012224938875305624
1 star,9,2017,2,0.011002444987775062
4 hours,9,2017,2,0.011002444987775062
bad experience,9,2017,2,0.011002444987775062
phone calls,9,2017,2,0.011002444987775062
service rep,9,2017,2,0.011002444987775062
water heater,9,2017,2,0.011002444987775062
yelp review,9,2017,2,0.011002444987775062
45 minutes,8,2017,2,0.009779951100244499
cleaning service,8,2017,2,0.009779951100244499
law firm,8,2017,2,0.009779951100244499
parking lot,8,2017,2,0.009779951100244499
resort fee,8,2017,2,0.009779951100244499
3 times,7,2017,2,0.008557457212713936
century link,7,2017,2,0.008557457212713936
hot tub,7,2017,2,0.008557457212713936
multiple times,7,2017,2,0.008557457212713936
poor customer,7,2017,2,0.008557457212713936
treasure island,7,2017,2,0.008557457212713936
2 3,6,2017,2,0.007334963325183374
3 months,6,2017,2,0.007334963325183374
3 weeks,6,2017,2,0.007334963325183374
30 days,6,2017,2,0.007334963325183374
5 minutes,6,2017,2,0.007334963325183374
5 star,6,2017,2,0.007334963325183374
air conditioner,6,2017,2,0.007334963325183374
carpet cleaning,6,2017,2,0.007334963325183374
dr plumbing,6,2017,2,0.007334963325183374
highly experienced,6,2017,2,0.007334963325183374
leak dr,6,2017,2,0.007334963325183374
office staff,6,2017,2,0.007334963325183374
store manager,6,2017,2,0.007334963325183374
tech girl,6,2017,2,0.007334963325183374
tech support,6,2017,2,0.007334963325183374
1 2,5,2017,2,0.006112469437652812
15 minutes,5,2017,2,0.006112469437652812
35 minutes,5,2017,2,0.006112469437652812
4 5,5,2017,2,0.006112469437652812
4 times,5,2017,2,0.006112469437652812
6 months,5,2017,2,0.006112469437652812
8 hours,5,2017,2,0.006112469437652812
99 cents,5,2017,2,0.006112469437652812
ac unit,5,2017,2,0.006112469437652812
az elite,5,2017,2,0.006112469437652812
buyer beware,5,2017,2,0.006112469437652812
cable box,5,2017,2,0.006112469437652812
chairmans lounge,5,2017,2,0.006112469437652812
deep clean,5,2017,2,0.006112469437652812
fine print,5,2017,2,0.006112469437652812
free parking,5,2017,2,0.006112469437652812
half hour,5,2017,2,0.006112469437652812
home phone,5,2017,2,0.006112469437652812
hot water,5,2017,2,0.006112469437652812
iphone 6,5,2017,2,0.006112469437652812
month ago,5,2017,2,0.006112469437652812
nail art,5,2017,2,0.006112469437652812
ni called,5,2017,2,0.006112469437652812
resort fees,5,2017,2,0.006112469437652812
sales person,5,2017,2,0.006112469437652812
star rating,5,2017,2,0.006112469437652812
story short,5,2017,2,0.006112469437652812
traffic school,5,2017,2,0.006112469437652812
verizon store,5,2017,2,0.006112469437652812
voice mail,5,2017,2,0.006112469437652812
week ago,5,2017,2,0.006112469437652812
1 hour,4,2017,2,0.004889975550122249
2 hour,4,2017,2,0.004889975550122249
2 months,4,2017,2,0.004889975550122249
20 mins,4,2017,2,0.004889975550122249
4 days,4,2017,2,0.004889975550122249
40 minutes,4,2017,2,0.004889975550122249
5 6,4,2017,2,0.004889975550122249
99 cent,4,2017,2,0.004889975550122249
air conditioning,4,2017,2,0.004889975550122249
bad service,4,2017,2,0.004889975550122249
bio gel,4,2017,2,0.004889975550122249
days ago,4,2017,2,0.004889975550122249
deep cleaning,4,2017,2,0.004889975550122249
desk staff,4,2017,2,0.004889975550122249
drone photographer,4,2017,2,0.004889975550122249
fiber internet,4,2017,2,0.004889975550122249
fountain view,4,2017,2,0.004889975550122249
front door,4,2017,2,0.004889975550122249
home life,4,2017,2,0.004889975550122249
highly recommend,1102,2015,5,0.16075857038657915
customer service,655,2015,5,0.09555069292487235
las vegas,353,2015,5,0.05149525893508388
highly recommended,153,2015,5,0.022319474835886213
top notch,133,2015,5,0.019401896425966448
carpet cleaning,132,2015,5,0.01925601750547046
law firm,118,2015,5,0.01721371261852662
amazing job,117,2015,5,0.017067833698030634
5 stars,114,2015,5,0.01663019693654267
garage door,110,2015,5,0.016046681254558718
fantastic job,91,2015,5,0.013274981765134938
pure plumbing,84,2015,5,0.01225382932166302
excellent job,79,2015,5,0.011524434719183078
30 minutes,73,2015,5,0.010649161196207148
excellent service,73,2015,5,0.010649161196207148
phone call,73,2015,5,0.010649161196207148
reasonable price,68,2015,5,0.009919766593727206
5 star,67,2015,5,0.009773887673231218
extremely helpful,67,2015,5,0.009773887673231218
cleaning service,65,2015,5,0.009482129832239242
2 hours,63,2015,5,0.009190371991247264
extremely professional,62,2015,5,0.009044493070751277
ni highly,62,2015,5,0.009044493070751277
super friendly,61,2015,5,0.008898614150255288
fair price,60,2015,5,0.0087527352297593
20 minutes,58,2015,5,0.008460977388767324
feel comfortable,58,2015,5,0.008460977388767324
business cards,56,2015,5,0.008169219547775346
friendly staff,55,2015,5,0.008023340627279359
yelp reviews,55,2015,5,0.008023340627279359
carpets cleaned,54,2015,5,0.00787746170678337
awesome job,50,2015,5,0.007293946024799417
excellent customer,50,2015,5,0.007293946024799417
front desk,50,2015,5,0.007293946024799417
business owner,49,2015,5,0.007148067104303428
real estate,49,2015,5,0.007148067104303428
speeding ticket,49,2015,5,0.007148067104303428
phone calls,47,2015,5,0.006856309263311451
entire process,46,2015,5,0.006710430342815463
timely manner,46,2015,5,0.006710430342815463
water heater,46,2015,5,0.006710430342815463
wonderful job,46,2015,5,0.006710430342815463
extra mile,45,2015,5,0.006564551422319475
10 minutes,44,2015,5,0.006418672501823487
15 minutes,44,2015,5,0.006418672501823487
2 weeks,44,2015,5,0.006418672501823487
super nice,44,2015,5,0.006418672501823487
traffic school,44,2015,5,0.006418672501823487
24 hours,43,2015,5,0.006272793581327498
verizon store,43,2015,5,0.006272793581327498
3 hours,42,2015,5,0.00612691466083151
extremely knowledgeable,42,2015,5,0.00612691466083151
insurance company,42,2015,5,0.00612691466083151
traffic ticket,42,2015,5,0.00612691466083151
absolutely amazing,40,2015,5,0.005835156819839533
family owned,40,2015,5,0.005835156819839533
extremely happy,39,2015,5,0.0056892778993435445
car accident,37,2015,5,0.005397520058351568
nice guy,37,2015,5,0.005397520058351568
super fast,37,2015,5,0.005397520058351568
personal injury,36,2015,5,0.00525164113785558
super helpful,36,2015,5,0.00525164113785558
friendly service,35,2015,5,0.005105762217359592
hard drive,35,2015,5,0.005105762217359592
home warranty,35,2015,5,0.005105762217359592
months ago,35,2015,5,0.005105762217359592
short notice,35,2015,5,0.005105762217359592
taking care,35,2015,5,0.005105762217359592
absolutely love,34,2015,5,0.004959883296863603
cleaning company,34,2015,5,0.004959883296863603
office staff,34,2015,5,0.004959883296863603
professional service,34,2015,5,0.004959883296863603
6 months,33,2015,5,0.004814004376367615
5 minutes,32,2015,5,0.0046681254558716264
california pools,32,2015,5,0.0046681254558716264
clean carpets,32,2015,5,0.0046681254558716264
cleaning services,32,2015,5,0.0046681254558716264
real deal,32,2015,5,0.0046681254558716264
reasonable prices,32,2015,5,0.0046681254558716264
time frame,32,2015,5,0.0046681254558716264
cell phone,30,2015,5,0.00437636761487965
job cleaning,30,2015,5,0.00437636761487965
law office,30,2015,5,0.00437636761487965
1 2,29,2015,5,0.004230488694383662
iphone 6,29,2015,5,0.004230488694383662
2 days,28,2015,5,0.004084609773887673
3 times,27,2015,5,0.003938730853391685
carpet cleaners,27,2015,5,0.003938730853391685
fast service,27,2015,5,0.003938730853391685
professional friendly,27,2015,5,0.003938730853391685
moving company,26,2015,5,0.0037928519328956968
amazing service,25,2015,5,0.0036469730123997084
computer repair,25,2015,5,0.0036469730123997084
deep clean,25,2015,5,0.0036469730123997084
outstanding job,25,2015,5,0.0036469730123997084
true professional,25,2015,5,0.0036469730123997084
weeks ago,25,2015,5,0.0036469730123997084
4 hours,24,2015,5,0.00350109409190372
absolutely recommend,24,2015,5,0.00350109409190372
amazing customer,24,2015,5,0.00350109409190372
customer service,59,2017,3,0.10460992907801418
