bigram,n,year,star,pec
post office,40,2016,3,0.08733624454148471
cn tower,21,2016,3,0.04585152838427948
las vegas,17,2016,3,0.03711790393013101
customer service,16,2016,3,0.034934497816593885
parking lot,16,2016,3,0.034934497816593885
green valley,9,2016,3,0.019650655021834062
30 minutes,8,2016,3,0.017467248908296942
3 stars,7,2016,3,0.015283842794759825
5 minutes,7,2016,3,0.015283842794759825
bonnie springs,7,2016,3,0.015283842794759825
observation deck,7,2016,3,0.015283842794759825
wait times,7,2016,3,0.015283842794759825
20 minutes,6,2016,3,0.013100436681222707
library card,6,2016,3,0.013100436681222707
red rock,6,2016,3,0.013100436681222707
10 minutes,5,2016,3,0.010917030567685589
15 minutes,5,2016,3,0.010917030567685589
2 hours,5,2016,3,0.010917030567685589
cell phone,5,2016,3,0.010917030567685589
clark county,5,2016,3,0.010917030567685589
community center,5,2016,3,0.010917030567685589
gift shop,5,2016,3,0.010917030567685589
glass floor,5,2016,3,0.010917030567685589
rock canyon,5,2016,3,0.010917030567685589
1 2,4,2016,3,0.008733624454148471
3 hours,4,2016,3,0.008733624454148471
40 minutes,4,2016,3,0.008733624454148471
5 10,4,2016,3,0.008733624454148471
8 30,4,2016,3,0.008733624454148471
blue jays,4,2016,3,0.008733624454148471
county library,4,2016,3,0.008733624454148471
free weights,4,2016,3,0.008733624454148471
friendly staff,4,2016,3,0.008733624454148471
hot dog,4,2016,3,0.008733624454148471
library system,4,2016,3,0.008733624454148471
main street,4,2016,3,0.008733624454148471
niagara falls,4,2016,3,0.008733624454148471
nice library,4,2016,3,0.008733624454148471
petting zoo,4,2016,3,0.008733624454148471
pork belly,4,2016,3,0.008733624454148471
post offices,4,2016,3,0.008733624454148471
rogers centre,4,2016,3,0.008733624454148471
round trip,4,2016,3,0.008733624454148471
station square,4,2016,3,0.008733624454148471
yea yea,4,2016,3,0.008733624454148471
2 stars,3,2016,3,0.006550218340611353
appointment online,3,2016,3,0.006550218340611353
bad experience,3,2016,3,0.006550218340611353
bit awkward,3,2016,3,0.006550218340611353
book selection,3,2016,3,0.006550218340611353
bottom floor,3,2016,3,0.006550218340611353
canada post,3,2016,3,0.006550218340611353
children's section,3,2016,3,0.006550218340611353
city pass,3,2016,3,0.006550218340611353
decent collection,3,2016,3,0.006550218340611353
dog park,3,2016,3,0.006550218340611353
dozen computer,3,2016,3,0.006550218340611353
drivers license,3,2016,3,0.006550218340611353
exact change,3,2016,3,0.006550218340611353
free parking,3,2016,3,0.006550218340611353
free wifi,3,2016,3,0.006550218340611353
hot tub,3,2016,3,0.006550218340611353
hour wait,3,2016,3,0.006550218340611353
indoor track,3,2016,3,0.006550218340611353
jury duty,3,2016,3,0.006550218340611353
library accounts,3,2016,3,0.006550218340611353
lines moving,3,2016,3,0.006550218340611353
main floor,3,2016,3,0.006550218340611353
missing menu,3,2016,3,0.006550218340611353
multiple times,3,2016,3,0.006550218340611353
nmore people,3,2016,3,0.006550218340611353
nthe staff,3,2016,3,0.006550218340611353
parking space,3,2016,3,0.006550218340611353
pretty quickly,3,2016,3,0.006550218340611353
saturday morning,3,2016,3,0.006550218340611353
snack bar,3,2016,3,0.006550218340611353
south carolina,3,2016,3,0.006550218340611353
spicy chicken,3,2016,3,0.006550218340611353
springs ranch,3,2016,3,0.006550218340611353
text message,3,2016,3,0.006550218340611353
valley library,3,2016,3,0.006550218340611353
von las,3,2016,3,0.006550218340611353
wait time,3,2016,3,0.006550218340611353
weight machines,3,2016,3,0.006550218340611353
1 hour,2,2016,3,0.004366812227074236
10 bucks,2,2016,3,0.004366812227074236
10 minute,2,2016,3,0.004366812227074236
2 3,2,2016,3,0.004366812227074236
20 minute,2,2016,3,0.004366812227074236
25 cad,2,2016,3,0.004366812227074236
3 hour,2,2016,3,0.004366812227074236
3 people,2,2016,3,0.004366812227074236
3 star,2,2016,3,0.004366812227074236
3d printer,2,2016,3,0.004366812227074236
4 30,2,2016,3,0.004366812227074236
4 5,2,2016,3,0.004366812227074236
4 6,2,2016,3,0.004366812227074236
4 minutes,2,2016,3,0.004366812227074236
4 table,2,2016,3,0.004366812227074236
45 1hr,2,2016,3,0.004366812227074236
post office,28,2015,3,0.05405405405405406
las vegas,21,2015,3,0.04054054054054054
pedestrian bridges,17,2015,3,0.032818532818532815
rogers centre,17,2015,3,0.032818532818532815
customer service,16,2015,3,0.03088803088803089
cn tower,14,2015,3,0.02702702702702703
parking lot,13,2015,3,0.025096525096525095
union station,12,2015,3,0.023166023166023165
dash pass,11,2015,3,0.021235521235521235
15 minutes,10,2015,3,0.019305019305019305
10 minutes,8,2015,3,0.015444015444015444
3 stars,8,2015,3,0.015444015444015444
5 minutes,8,2015,3,0.015444015444015444
ghost town,8,2015,3,0.015444015444015444
red rock,8,2015,3,0.015444015444015444
clark county,7,2015,3,0.013513513513513514
observation deck,7,2015,3,0.013513513513513514
whitney library,7,2015,3,0.013513513513513514
30 minutes,6,2015,3,0.011583011583011582
pretty cool,6,2015,3,0.011583011583011582
public library,6,2015,3,0.011583011583011582
15 mins,5,2015,3,0.009652509652509652
3 star,5,2015,3,0.009652509652509652
45 minutes,5,2015,3,0.009652509652509652
