bigram,n,star,pec
customer service,80,2,0.05401755570560432
office staff,58,2,0.03916272788656313
front desk,55,2,0.03713706954760297
apartment complex,43,2,0.02903443619176232
2 stars,41,2,0.027683997299122215
management company,40,2,0.02700877785280216
leasing office,39,2,0.02633355840648211
parking lot,38,2,0.025658338960162053
front office,33,2,0.02228224172856178
las vegas,27,2,0.01823092505064146
security deposit,26,2,0.017555705604321403
maintenance staff,24,2,0.016205266711681297
multiple times,23,2,0.015530047265361242
dog park,22,2,0.014854827819041188
6 months,20,2,0.01350438892640108
front door,20,2,0.01350438892640108
gated community,19,2,0.012829169480081027
2 months,18,2,0.012153950033760972
paper thin,18,2,0.012153950033760972
property management,18,2,0.012153950033760972
dog poop,17,2,0.011478730587440918
phone call,16,2,0.010803511141120865
phone calls,16,2,0.010803511141120865
property manager,16,2,0.010803511141120865
resort fee,16,2,0.010803511141120865
maintenance requests,15,2,0.01012829169480081
24 hours,14,2,0.009453072248480757
maintenance guy,14,2,0.009453072248480757
pay rent,14,2,0.009453072248480757
2 weeks,13,2,0.008777852802160702
3 months,13,2,0.008777852802160702
3 times,13,2,0.008777852802160702
hot water,13,2,0.008777852802160702
parking spot,13,2,0.008777852802160702
1 2,12,2,0.008102633355840648
leasing agent,12,2,0.008102633355840648
pest control,12,2,0.008102633355840648
pet friendly,12,2,0.008102633355840648
15 minutes,11,2,0.007427413909520594
2 bedroom,11,2,0.007427413909520594
2 hours,11,2,0.007427413909520594
3 4,11,2,0.007427413909520594
3 weeks,11,2,0.007427413909520594
5 star,11,2,0.007427413909520594
air conditioning,11,2,0.007427413909520594
late fees,11,2,0.007427413909520594
smoke free,11,2,0.007427413909520594
water damage,11,2,0.007427413909520594
10 minutes,10,2,0.00675219446320054
2 star,10,2,0.00675219446320054
20 minutes,10,2,0.00675219446320054
3 days,10,2,0.00675219446320054
4 months,10,2,0.00675219446320054
48 hours,10,2,0.00675219446320054
convention center,10,2,0.00675219446320054
corporate office,10,2,0.00675219446320054
