bigram,n,star,pec
customer service,2757,2,0.04895849981354217
2 stars,2243,2,0.03983094489727061
10 minutes,1894,2,0.03363344165645588
20 minutes,1789,2,0.03176886331752881
15 minutes,1771,2,0.03144922131656989
nthe food,1340,2,0.023795571182497824
happy hour,1292,2,0.02294319251327402
ice cream,1291,2,0.02292543462433186
30 minutes,1267,2,0.022499245289719957
fried rice,1003,2,0.01781116260898904
wait staff,913,2,0.016212952604194412
5 minutes,886,2,0.015733489602756025
fast food,798,2,0.014170795375845719
las vegas,796,2,0.014135279597961395
45 minutes,784,2,0.013922184930655444
fried chicken,732,2,0.012998774705662991
nthe service,717,2,0.012732406371530553
mexican food,708,2,0.01257258537105109
1 2,694,2,0.012323974925860813
pad thai,691,2,0.012270701259034325
food quality,666,2,0.011826754035480263
3 times,628,2,0.011151954255678085
saturday night,622,2,0.01104540692202511
1 star,606,2,0.010761280698950508
poor service,591,2,0.01049491236481807
friday night,590,2,0.010477154475875907
slow service,584,2,0.010370607142222932
bad service,552,2,0.009802354696073731
medium rare,551,2,0.009784596807131568
dim sum,545,2,0.009678049473478592
40 minutes,532,2,0.009447196917230479
onion rings,529,2,0.009393923250403991
dining experience,515,2,0.009145312805213716
mashed potatoes,481,2,0.008541544581180189
wait time,480,2,0.008523786692238028
hot sauce,471,2,0.008363965691758565
5 stars,464,2,0.008239660469163426
prime rib,461,2,0.008186386802336939
2 star,459,2,0.008150871024452612
french fries,456,2,0.008097597357626125
minute wait,456,2,0.008097597357626125
chicken sandwich,447,2,0.007937776357146662
pulled pork,446,2,0.0079200184682045
gluten free,442,2,0.00784898691243585
sweet potato,437,2,0.007760197467725037
chinese food,431,2,0.007653650134072061
25 minutes,423,2,0.007511587022534761
french toast,422,2,0.007493829133592598
front desk,420,2,0.007458313355708273
mediocre food,408,2,0.0072452186884023224
deep fried,406,2,0.007209702910517998
bad experience,402,2,0.007138671354749347
carne asada,402,2,0.007138671354749347
write home,401,2,0.007120913465807185
portion size,397,2,0.007049881910038535
spring rolls,394,2,0.006996608243212047
pork belly,388,2,0.006890060909559071
2 hours,381,2,0.006765755686963934
crab legs,379,2,0.006730239909079608
5 star,377,2,0.006694724131195284
terrible service,376,2,0.006676966242253121
parking lot,371,2,0.0065881767975423085
multiple times,365,2,0.006481629463889333
grocery store,361,2,0.0064105979081206825
credit card,360,2,0.00639284001917852
food arrived,358,2,0.006357324241294195
sour cream,357,2,0.006339566352352033
bbq sauce,355,2,0.006304050574467707
ten minutes,354,2,0.006286292685525545
3 stars,348,2,0.00617974535187257
star rating,348,2,0.00617974535187257
chicken wings,347,2,0.0061619874629304065
