bigram,n,star,pec
customer service,1136,2,0.2128137879355564
2 stars,173,2,0.03240914200074935
10 minutes,133,2,0.024915698763581864
front desk,133,2,0.024915698763581864
20 minutes,117,2,0.021918321468714873
15 minutes,100,2,0.018733608092918696
parking lot,100,2,0.018733608092918696
30 minutes,99,2,0.01854627201198951
home depot,99,2,0.01854627201198951
las vegas,87,2,0.016298239040839265
ice cream,76,2,0.01423754215061821
2 weeks,67,2,0.012551517422255526
credit card,64,2,0.011989509179467965
weeks ago,63,2,0.011802173098538779
1 2,61,2,0.011427500936680405
sales associate,60,2,0.011240164855751217
food court,59,2,0.01105282877482203
poor customer,59,2,0.01105282877482203
5 minutes,58,2,0.010865492693892843
phone call,57,2,0.010678156612963657
45 minutes,55,2,0.010303484451105283
multiple times,54,2,0.010116148370176097
5 stars,52,2,0.009741476208317721
grocery store,51,2,0.009554140127388535
soft serve,51,2,0.009554140127388535
sales person,50,2,0.009366804046459348
1 star,49,2,0.009179467965530161
eye exam,49,2,0.009179467965530161
gift card,49,2,0.009179467965530161
3 times,48,2,0.008992131884600974
return policy,48,2,0.008992131884600974
store manager,47,2,0.008804795803671788
3 weeks,46,2,0.008617459722742601
entire time,43,2,0.00805545147995504
shopping experience,42,2,0.007868115399025852
eye contact,41,2,0.007680779318096666
months ago,40,2,0.007493443237167478
2 3,39,2,0.0073061071562382915
2 star,38,2,0.007118771075309105
cereal milk,38,2,0.007118771075309105
nthe store,38,2,0.007118771075309105
sales people,38,2,0.007118771075309105
sales rep,38,2,0.007118771075309105
store credit,37,2,0.006931434994379917
wal mart,37,2,0.006931434994379917
super nice,36,2,0.0067440989134507304
2 days,35,2,0.006556762832521544
bad experience,35,2,0.006556762832521544
crack pie,35,2,0.006556762832521544
2 months,34,2,0.006369426751592357
3 days,34,2,0.006369426751592357
days ago,34,2,0.006369426751592357
star rating,34,2,0.006369426751592357
2 hours,33,2,0.006182090670663169
5 star,33,2,0.006182090670663169
40 minutes,31,2,0.005807418508804796
phone calls,31,2,0.005807418508804796
apple store,30,2,0.005620082427875608
cash register,29,2,0.005432746346946422
terrible customer,29,2,0.005432746346946422
cell phone,28,2,0.005245410266017235
3 4,27,2,0.005058074185088048
bad customer,27,2,0.005058074185088048
sales staff,27,2,0.005058074185088048
24 hours,26,2,0.004870738104158861
debit card,26,2,0.004870738104158861
extremely rude,26,2,0.004870738104158861
sales associates,26,2,0.004870738104158861
service desk,25,2,0.004683402023229674
3 people,24,2,0.004496065942300487
6 months,24,2,0.004496065942300487
empty handed,24,2,0.004496065942300487
horrible customer,24,2,0.004496065942300487
poor service,24,2,0.004496065942300487
resort fee,24,2,0.004496065942300487
service skills,24,2,0.004496065942300487
star review,24,2,0.004496065942300487
story short,24,2,0.004496065942300487
10 mins,23,2,0.0043087298613713005
pretty disappointed,23,2,0.0043087298613713005
price match,23,2,0.0043087298613713005
1 hour,22,2,0.004121393780442113
4 times,22,2,0.004121393780442113
bad day,22,2,0.004121393780442113
couple days,22,2,0.004121393780442113
couple weeks,22,2,0.004121393780442113
feel bad,22,2,0.004121393780442113
milk bar,22,2,0.004121393780442113
single time,22,2,0.004121393780442113
thrift store,22,2,0.004121393780442113
10 15,21,2,0.003934057699512926
milk soft,21,2,0.003934057699512926
screen protector,21,2,0.003934057699512926
sim cards,21,2,0.003934057699512926
wait time,21,2,0.003934057699512926
3 hours,20,2,0.003746721618583739
30 days,20,2,0.003746721618583739
4 weeks,20,2,0.003746721618583739
decent selection,20,2,0.003746721618583739
double check,20,2,0.003746721618583739
customer service,7825,1,0.24809765377298668
home depot,728,1,0.023081800887761572
worst customer,725,1,0.022986683576410906
credit card,644,1,0.02041851616994293
30 minutes,551,1,0.01746987951807229
horrible customer,534,1,0.016930881420418518
store manager,520,1,0.016487000634115408
20 minutes,510,1,0.016169942929613188
2 weeks,498,1,0.015789473684210527
10 minutes,482,1,0.015282181357006975
poor customer,449,1,0.014235890932149652
15 minutes,445,1,0.014109067850348763
terrible customer,435,1,0.013792010145846544
las vegas,425,1,0.013474952441344324
front desk,422,1,0.01337983512999366
worst experience,382,1,0.012111604311984782
phone call,367,1,0.011636017755231452
2 hours,342,1,0.010843373493975903
extremely rude,329,1,0.010431198478123018
sales person,318,1,0.010082435003170577
1 star,313,1,0.009923906150919468
3 times,310,1,0.009828788839568801
multiple times,307,1,0.009733671528218135
3 weeks,306,1,0.009701965757767914
0 stars,301,1,0.009543436905516805
phone calls,299,1,0.009480025364616361
gift card,297,1,0.009416613823715916
5 minutes,290,1,0.009194673430564362
2 days,283,1,0.008972733037412809
store credit,281,1,0.008909321496512366
weeks ago,280,1,0.008877615726062143
1 2,276,1,0.008750792644261256
return policy,273,1,0.00865567533291059
horrible experience,266,1,0.008433734939759036
bad experience,263,1,0.00833861762840837
parking lot,259,1,0.008211794546607483
months ago,258,1,0.00818008877615726
45 minutes,254,1,0.008053265694356373
3 days,252,1,0.00798985415345593
buyer beware,246,1,0.007799619530754597
bad customer,230,1,0.007292327203551046
sales associate,226,1,0.007165504121750158
2 months,225,1,0.007133798351299936
horrible service,219,1,0.006943563728598605
3 months,206,1,0.00653138871274572
sales rep,196,1,0.0062143310082435005
3 hours,191,1,0.006055802155992391
service skills,191,1,0.006055802155992391
living spaces,187,1,0.005928979074191503
days ago,185,1,0.005865567533291059
terrible experience,185,1,0.005865567533291059
terrible service,185,1,0.005865567533291059
6 months,181,1,0.005738744451490171
ni called,177,1,0.005611921369689283
sales people,176,1,0.0055802155992390615
apple store,172,1,0.0054533925174381735
story short,172,1,0.0054533925174381735
cell phone,168,1,0.005326569435637286
poor service,166,1,0.005263157894736842
10 days,164,1,0.005199746353836398
worst service,163,1,0.005168040583386177
30 days,157,1,0.004977805960684844
6 weeks,156,1,0.0049461001902346225
called customer,155,1,0.004914394419784401
24 hours,154,1,0.004882688649334179
eye contact,150,1,0.004755865567533291
delivery date,149,1,0.004724159797083069
entire time,146,1,0.004629042485732403
business days,144,1,0.004565630944831959
4 days,142,1,0.004502219403931516
horrible horrible,142,1,0.004502219403931516
negative stars,139,1,0.00440710209258085
price match,139,1,0.00440710209258085
absolute worst,137,1,0.004343690551680406
insurance company,136,1,0.004311984781230184
5 days,133,1,0.004216867469879518
poor quality,132,1,0.004185161699429296
4 times,131,1,0.0041534559289790746
warranty company,128,1,0.004058338617628408
restocking fee,125,1,0.003963221306277742
2 3,123,1,0.0038998097653772986
1 hour,122,1,0.003868103994927077
4 hours,122,1,0.003868103994927077
month ago,122,1,0.003868103994927077
screen protector,121,1,0.0038363982244768546
40 minutes,120,1,0.003804692454026633
security guard,120,1,0.003804692454026633
4 months,119,1,0.003772986683576411
front door,118,1,0.003741280913126189
bad service,117,1,0.003709575142675967
direct tv,117,1,0.003709575142675967
loyal customer,117,1,0.003709575142675967
corporate office,115,1,0.003646163601775523
30 min,114,1,0.0036144578313253013
costumer service,113,1,0.003582752060875079
service experience,112,1,0.0035510462904248573
service rep,112,1,0.0035510462904248573
shopping experience,111,1,0.0035193405199746355
4 weeks,110,1,0.0034876347495244133
negative reviews,110,1,0.0034876347495244133
customer service,570,3,0.13277428371767994
3 stars,184,3,0.04286047053342651
food court,143,3,0.03331003959934777
parking lot,135,3,0.031446540880503145
las vegas,120,3,0.027952480782669462
5 stars,107,3,0.024924295364546937
soft serve,91,3,0.021197297926857674
ice cream,87,3,0.02026554856743536
crack pie,85,3,0.019799673887724203
grocery store,82,3,0.019100861868157466
front desk,76,3,0.017703237829023992
20 minutes,74,3,0.017237363149312835
home depot,72,3,0.016771488469601678
30 minutes,71,3,0.016538551129746098
10 minutes,66,3,0.015373864430468204
cereal milk,61,3,0.01420917773119031
15 minutes,59,3,0.013743303051479153
nthe store,55,3,0.012811553692056837
5 star,52,3,0.0121127416724901
5 minutes,49,3,0.011413929652923364
shopping experience,48,3,0.011180992313067784
star review,46,3,0.010715117633356627
1 2,42,3,0.009783368273934312
credit card,42,3,0.009783368273934312
milk bar,41,3,0.009550430934078733
shopping center,40,3,0.009317493594223155
3 star,38,3,0.008851618914511996
1 star,37,3,0.008618681574656418
wal mart,37,3,0.008618681574656418
2 hours,35,3,0.00815280689494526
2 stars,35,3,0.00815280689494526
decent selection,35,3,0.00815280689494526
friendly staff,35,3,0.00815280689494526
nthe staff,35,3,0.00815280689494526
thrift store,34,3,0.00791986955508968
super friendly,32,3,0.007453994875378523
wait time,32,3,0.007453994875378523
milk soft,30,3,0.0069881201956673656
star rating,29,3,0.006755182855811786
fremont street,28,3,0.006522245515956208
3 5,27,3,0.006289308176100629
45 minutes,27,3,0.006289308176100629
grocery stores,27,3,0.006289308176100629
4 stars,26,3,0.00605637083624505
birthday cake,26,3,0.00605637083624505
board games,26,3,0.00605637083624505
dollar store,26,3,0.00605637083624505
huge selection,26,3,0.00605637083624505
multiple times,26,3,0.00605637083624505
sales people,26,3,0.00605637083624505
weeks ago,26,3,0.00605637083624505
3 times,25,3,0.0058234334963894714
cell phone,25,3,0.0058234334963894714
gift shop,25,3,0.0058234334963894714
nice store,25,3,0.0058234334963894714
2 3,24,3,0.005590496156533892
empty handed,24,3,0.005590496156533892
giant eagle,24,3,0.005590496156533892
nice selection,24,3,0.005590496156533892
store credit,24,3,0.005590496156533892
super nice,24,3,0.005590496156533892
24 hours,23,3,0.005357558816678314
3.5 stars,23,3,0.005357558816678314
4 5,23,3,0.005357558816678314
food options,23,3,0.005357558816678314
home decor,23,3,0.005357558816678314
pretty cool,23,3,0.005357558816678314
dollar tree,22,3,0.005124621476822734
hard time,22,3,0.005124621476822734
vegas strip,22,3,0.005124621476822734
wide selection,22,3,0.005124621476822734
clean store,21,3,0.004891684136967156
days ago,21,3,0.004891684136967156
home improvement,21,3,0.004891684136967156
pretty decent,21,3,0.004891684136967156
price tag,21,3,0.004891684136967156
eye contact,20,3,0.004658746797111577
household items,20,3,0.004658746797111577
recent visit,20,3,0.004658746797111577
return policy,20,3,0.004658746797111577
sales associate,20,3,0.004658746797111577
sales person,20,3,0.004658746797111577
tj maxx,20,3,0.004658746797111577
trader joe's,20,3,0.004658746797111577
wait times,20,3,0.004658746797111577
2 weeks,19,3,0.004425809457255998
3 hours,19,3,0.004425809457255998
3 weeks,19,3,0.004425809457255998
conveniently located,19,3,0.004425809457255998
decent amount,19,3,0.004425809457255998
gift card,19,3,0.004425809457255998
nthis store,19,3,0.004425809457255998
poor customer,19,3,0.004425809457255998
sale items,19,3,0.004425809457255998
10 15,18,3,0.0041928721174004195
2 days,18,3,0.0041928721174004195
department store,18,3,0.0041928721174004195
helpful staff,18,3,0.0041928721174004195
nthis location,18,3,0.0041928721174004195
price match,18,3,0.0041928721174004195
customer service,548,3,0.12824713316171307
3 stars,185,3,0.04329510882284109
las vegas,142,3,0.033231921366721276
parking lot,132,3,0.030891645214135267
soft serve,111,3,0.02597706529370466
food court,102,3,0.023870816756377252
ice cream,100,3,0.02340276152586005
5 stars,94,3,0.021998595834308448
grocery store,83,3,0.019424292066463844
cereal milk,82,3,0.019190264451205242
crack pie,70,3,0.016381933068102036
15 minutes,68,3,0.015913877837584835
front desk,67,3,0.015679850222326236
home depot,65,3,0.015211794991809033
nthe store,65,3,0.015211794991809033
10 minutes,62,3,0.014509712146033232
20 minutes,54,3,0.012637491223964428
30 minutes,54,3,0.012637491223964428
milk bar,50,3,0.011701380762930026
friendly staff,47,3,0.010999297917154224
credit card,43,3,0.010063187456119822
shopping experience,42,3,0.009829159840861221
1 2,41,3,0.009595132225602621
thrift store,39,3,0.00912707699508542
sales associate,38,3,0.00889304937982682
5 minutes,37,3,0.008659021764568219
shopping center,37,3,0.008659021764568219
wal mart,37,3,0.008659021764568219
milk soft,36,3,0.008424994149309618
3 star,35,3,0.008190966534051018
5 star,34,3,0.007956938918792417
huge selection,34,3,0.007956938918792417
sales person,33,3,0.007722911303533817
sugar factory,33,3,0.007722911303533817
super friendly,33,3,0.007722911303533817
1 star,32,3,0.007488883688275216
2 stars,32,3,0.007488883688275216
4 stars,32,3,0.007488883688275216
bad experience,32,3,0.007488883688275216
birthday cake,32,3,0.007488883688275216
compost cookie,31,3,0.007254856073016616
nice selection,31,3,0.007254856073016616
star rating,31,3,0.007254856073016616
nthe staff,30,3,0.007020828457758015
wide variety,30,3,0.007020828457758015
2 weeks,29,3,0.006786800842499415
decent selection,29,3,0.006786800842499415
apple store,28,3,0.006552773227240814
gift card,28,3,0.006552773227240814
grocery stores,28,3,0.006552773227240814
price tag,28,3,0.006552773227240814
super nice,28,3,0.006552773227240814
2 3,27,3,0.006318745611982214
sales people,27,3,0.006318745611982214
board games,26,3,0.006084717996723613
gift shop,26,3,0.006084717996723613
harris teeter,26,3,0.006084717996723613
corn flakes,25,3,0.005850690381465013
nthis location,25,3,0.005850690381465013
outlet mall,25,3,0.005850690381465013
3.5 stars,24,3,0.005616662766206412
4 5,24,3,0.005616662766206412
empty handed,24,3,0.005616662766206412
pretty cool,24,3,0.005616662766206412
weeks ago,24,3,0.005616662766206412
multiple times,23,3,0.005382635150947812
phone call,23,3,0.005382635150947812
video games,23,3,0.005382635150947812
2 hours,22,3,0.005148607535689211
24 hours,22,3,0.005148607535689211
3 4,21,3,0.004914579920430611
3 days,21,3,0.004914579920430611
45 minutes,21,3,0.004914579920430611
coffee shop,21,3,0.004914579920430611
dollar tree,21,3,0.004914579920430611
fremont street,21,3,0.004914579920430611
nthe food,21,3,0.004914579920430611
wait time,21,3,0.004914579920430611
worth checking,21,3,0.004914579920430611
dim sum,20,3,0.00468055230517201
eye exam,20,3,0.00468055230517201
home decor,20,3,0.00468055230517201
store credit,20,3,0.00468055230517201
store manager,20,3,0.00468055230517201
3 hours,19,3,0.00444652468991341
3 weeks,19,3,0.00444652468991341
board game,19,3,0.00444652468991341
cash register,19,3,0.00444652468991341
department store,19,3,0.00444652468991341
entire time,19,3,0.00444652468991341
nice store,19,3,0.00444652468991341
nthis store,19,3,0.00444652468991341
pretty decent,19,3,0.00444652468991341
pretty nice,19,3,0.00444652468991341
star review,19,3,0.00444652468991341
trader joe's,19,3,0.00444652468991341
eye contact,18,3,0.004212497074654809
household items,18,3,0.004212497074654809
n3 stars,18,3,0.004212497074654809
return policy,18,3,0.004212497074654809
customer service,1194,2,0.2193643211464266
2 stars,197,2,0.036193275767040234
20 minutes,129,2,0.023700165349990813
10 minutes,118,2,0.021679221017821056
home depot,118,2,0.021679221017821056
15 minutes,115,2,0.021128054381774758
30 minutes,96,2,0.017637332353481534
front desk,92,2,0.016902443505419806
las vegas,86,2,0.01580011023332721
parking lot,82,2,0.01506522138526548
ice cream,77,2,0.014146610325188316
2 weeks,74,2,0.013595443689142016
5 minutes,72,2,0.013227999265111152
credit card,67,2,0.012309388205033989
poor customer,63,2,0.011574499356972258
soft serve,60,2,0.01102333272092596
sales associate,53,2,0.00973727723681793
sales people,53,2,0.00973727723681793
sales person,52,2,0.009553555024802499
1 2,50,2,0.009186110600771633
return policy,50,2,0.009186110600771633
2 days,49,2,0.009002388388756201
sales associates,49,2,0.009002388388756201
store manager,47,2,0.008634943964725335
days ago,46,2,0.008451221752709903
45 minutes,45,2,0.00826749954069447
5 stars,45,2,0.00826749954069447
2 hours,44,2,0.008083777328679037
3 weeks,44,2,0.008083777328679037
grocery store,44,2,0.008083777328679037
crack pie,43,2,0.007900055116663605
wal mart,43,2,0.007900055116663605
bad experience,42,2,0.007716332904648172
gift card,42,2,0.007716332904648172
weeks ago,42,2,0.007716332904648172
food court,41,2,0.00753261069263274
months ago,41,2,0.00753261069263274
cereal milk,40,2,0.007348888480617307
milk bar,40,2,0.007348888480617307
phone call,40,2,0.007348888480617307
store credit,40,2,0.007348888480617307
entire time,39,2,0.007165166268601874
eye contact,39,2,0.007165166268601874
multiple times,39,2,0.007165166268601874
cell phone,38,2,0.006981444056586441
2 months,37,2,0.006797721844571008
2 star,37,2,0.006797721844571008
eye exam,37,2,0.006797721844571008
shopping experience,36,2,0.006613999632555576
24 hours,35,2,0.006430277420540143
3 times,35,2,0.006430277420540143
3 days,34,2,0.0062465552085247105
bad customer,34,2,0.0062465552085247105
nthe store,34,2,0.0062465552085247105
sales lady,34,2,0.0062465552085247105
phone calls,33,2,0.006062832996509278
service desk,33,2,0.006062832996509278
3 4,32,2,0.005879110784493846
10 15,31,2,0.005695388572478413
1 star,30,2,0.00551166636046298
empty handed,30,2,0.00551166636046298
star review,30,2,0.00551166636046298
5 star,29,2,0.005327944148447547
poor service,29,2,0.005327944148447547
price match,29,2,0.005327944148447547
service skills,29,2,0.005327944148447547
thrift store,29,2,0.005327944148447547
wait time,29,2,0.005327944148447547
10 days,28,2,0.005144221936432115
4 times,28,2,0.005144221936432115
bad day,28,2,0.005144221936432115
ten minutes,28,2,0.005144221936432115
terrible customer,28,2,0.005144221936432115
2 3,27,2,0.004960499724416682
3 hours,27,2,0.004960499724416682
6 months,27,2,0.004960499724416682
30 days,26,2,0.004776777512401249
wedding dress,26,2,0.004776777512401249
hard time,25,2,0.0045930553003858164
nthe staff,25,2,0.0045930553003858164
story short,25,2,0.0045930553003858164
super nice,25,2,0.0045930553003858164
3 months,24,2,0.004409333088370384
5 days,24,2,0.004409333088370384
apple store,24,2,0.004409333088370384
horrible customer,24,2,0.004409333088370384
40 minutes,23,2,0.004225610876354952
extremely rude,23,2,0.004225610876354952
resort fee,23,2,0.004225610876354952
sales rep,23,2,0.004225610876354952
single time,23,2,0.004225610876354952
buyer beware,22,2,0.004041888664339519
grocery stores,22,2,0.004041888664339519
half hour,22,2,0.004041888664339519
ni called,22,2,0.004041888664339519
15 mins,21,2,0.003858166452324086
cash register,21,2,0.003858166452324086
decent selection,21,2,0.003858166452324086
front door,21,2,0.003858166452324086
sales staff,21,2,0.003858166452324086
customer service,7201,1,0.2537350246652572
worst customer,673,1,0.0237138830162086
credit card,563,1,0.019837914023960537
home depot,505,1,0.017794221282593375
30 minutes,480,1,0.016913319238900635
store manager,480,1,0.016913319238900635
10 minutes,472,1,0.016631430584918956
horrible customer,470,1,0.01656095842142354
20 minutes,450,1,0.015856236786469344
15 minutes,431,1,0.01518675123326286
2 weeks,412,1,0.014517265680056377
poor customer,407,1,0.01434108527131783
terrible customer,389,1,0.013706835799859056
phone call,364,1,0.012825933756166315
worst experience,355,1,0.012508809020436927
front desk,351,1,0.012367864693446088
gift card,313,1,0.011028893587033121
2 hours,309,1,0.010887949260042284
store credit,307,1,0.010817477096546863
extremely rude,304,1,0.010711768851303736
sales person,302,1,0.010641296687808315
3 weeks,301,1,0.010606060606060607
las vegas,300,1,0.010570824524312896
5 minutes,288,1,0.01014799154334038
phone calls,286,1,0.010077519379844961
return policy,271,1,0.009548978153629317
horrible experience,269,1,0.009478505990133897
1 star,266,1,0.009372797744890768
weeks ago,266,1,0.009372797744890768
3 days,256,1,0.009020436927413672
1 2,254,1,0.008949964763918253
3 times,253,1,0.008914728682170543
45 minutes,245,1,0.008632840028188865
0 stars,240,1,0.008456659619450317
multiple times,238,1,0.008386187455954899
sales associate,234,1,0.00824524312896406
months ago,226,1,0.007963354474982382
bad experience,220,1,0.007751937984496124
parking lot,220,1,0.007751937984496124
2 days,209,1,0.007364341085271318
bad customer,209,1,0.007364341085271318
buyer beware,206,1,0.007258632840028189
2 months,203,1,0.0071529245947850595
horrible service,194,1,0.006835799859055673
terrible service,194,1,0.006835799859055673
3 months,180,1,0.006342494714587738
living spaces,180,1,0.006342494714587738
sales people,175,1,0.00616631430584919
24 hours,173,1,0.00609584214235377
service skills,169,1,0.0059548978153629315
ni called,163,1,0.005743481324876674
terrible experience,161,1,0.005673009161381254
sales rep,159,1,0.005602536997885835
days ago,157,1,0.005532064834390416
poor service,146,1,0.00514446793516561
story short,146,1,0.00514446793516561
6 months,143,1,0.0050387596899224806
30 days,141,1,0.004968287526427062
worst service,141,1,0.004968287526427062
10 days,138,1,0.004862579281183933
6 weeks,138,1,0.004862579281183933
4 days,137,1,0.004827343199436222
5 days,136,1,0.004792107117688513
corporate office,136,1,0.004792107117688513
eye exam,135,1,0.0047568710359408035
delivery date,133,1,0.004686398872445384
business days,132,1,0.004651162790697674
4 times,131,1,0.004615926708949965
3 hours,130,1,0.0045806906272022555
apple store,126,1,0.004439746300211416
cell phone,123,1,0.004334038054968288
absolute worst,122,1,0.004298801973220578
2 3,120,1,0.004228329809725159
entire time,120,1,0.004228329809725159
wal mart,119,1,0.004193093727977449
step foot,118,1,0.004157857646229739
4 weeks,115,1,0.00405214940098661
negative stars,115,1,0.00405214940098661
eye contact,114,1,0.0040169133192389005
extremely disappointed,113,1,0.003981677237491191
poor quality,112,1,0.003946441155743482
direct tv,111,1,0.003911205073995771
grocery store,111,1,0.003911205073995771
negative reviews,110,1,0.003875968992248062
40 minutes,109,1,0.0038407329105003525
call customer,109,1,0.0038407329105003525
called customer,109,1,0.0038407329105003525
month ago,109,1,0.0038407329105003525
assistant manager,107,1,0.003770260747004933
restocking fee,107,1,0.003770260747004933
3 4,105,1,0.0036997885835095136
bad reviews,105,1,0.0036997885835095136
sales associates,104,1,0.003664552501761804
hard earned,103,1,0.0036293164200140943
price match,103,1,0.0036293164200140943
front door,102,1,0.003594080338266385
bottom line,100,1,0.0035236081747709656
service rep,98,1,0.0034531360112755463
shopping experience,98,1,0.0034531360112755463
highly recommend,97,1,0.0034178999295278365
customer service,1079,2,0.21971085318672368
2 stars,186,2,0.037874160048869884
parking lot,121,2,0.0246385664834046
15 minutes,117,2,0.023824068417837508
10 minutes,112,2,0.022805945835878638
20 minutes,98,2,0.01995520260639381
30 minutes,94,2,0.019140704540826715
home depot,94,2,0.019140704540826715
front desk,93,2,0.018937080024434942
las vegas,78,2,0.01588271227855834
5 minutes,75,2,0.015271838729383017
poor customer,67,2,0.01364284259824883
phone call,61,2,0.012421095499898187
store manager,60,2,0.012217470983506415
credit card,56,2,0.011402972917939319
2 hours,55,2,0.011199348401547547
food court,55,2,0.011199348401547547
return policy,52,2,0.010588474852372225
2 weeks,49,2,0.009977601303196904
sales person,49,2,0.009977601303196904
grocery store,47,2,0.009570352270413357
sales associate,47,2,0.009570352270413357
3 times,45,2,0.00916310323762981
5 stars,44,2,0.008959478721238036
1 star,43,2,0.008755854204846264
2 days,42,2,0.00855222968845449
shopping experience,42,2,0.00855222968845449
45 minutes,40,2,0.008144980655670942
sales people,40,2,0.008144980655670942
3 weeks,39,2,0.00794135613927917
months ago,39,2,0.00794135613927917
star rating,39,2,0.00794135613927917
multiple times,38,2,0.007737731622887396
1 2,37,2,0.007534107106495622
apple store,37,2,0.007534107106495622
cell phone,37,2,0.007534107106495622
store credit,37,2,0.007534107106495622
weeks ago,35,2,0.007126858073712075
6 months,34,2,0.006923233557320301
24 hours,33,2,0.006719609040928528
eye contact,33,2,0.006719609040928528
eye exam,33,2,0.006719609040928528
wal mart,33,2,0.006719609040928528
3 hours,32,2,0.006515984524536754
days ago,32,2,0.006515984524536754
thrift store,32,2,0.006515984524536754
2 star,31,2,0.006312360008144981
3 days,31,2,0.006312360008144981
phone calls,31,2,0.006312360008144981
sales rep,31,2,0.006312360008144981
bad customer,30,2,0.006108735491753207
gift card,30,2,0.006108735491753207
40 minutes,29,2,0.005905110975361434
bad experience,29,2,0.005905110975361434
empty handed,29,2,0.005905110975361434
horrible customer,29,2,0.005905110975361434
price tag,29,2,0.005905110975361434
sales associates,29,2,0.005905110975361434
sam's club,29,2,0.005905110975361434
half hour,28,2,0.0057014864589696596
story short,27,2,0.005497861942577886
3 months,26,2,0.005294237426186113
entire time,26,2,0.005294237426186113
ni called,26,2,0.005294237426186113
resort fee,26,2,0.005294237426186113
4 days,25,2,0.005090612909794339
4 times,24,2,0.004886988393402566
5 star,24,2,0.004886988393402566
hard time,24,2,0.004886988393402566
wait time,24,2,0.004886988393402566
2 months,23,2,0.004683363877010792
3 4,23,2,0.004683363877010792
extremely rude,23,2,0.004683363877010792
worst customer,23,2,0.004683363877010792
bad day,22,2,0.004479739360619018
cash register,22,2,0.004479739360619018
nthe store,22,2,0.004479739360619018
10 15,21,2,0.004276114844227245
iphone 6,21,2,0.004276114844227245
super nice,21,2,0.004276114844227245
bad taste,20,2,0.004072490327835471
closing time,20,2,0.004072490327835471
dollar tree,20,2,0.004072490327835471
screen protector,20,2,0.004072490327835471
service desk,20,2,0.004072490327835471
terrible customer,20,2,0.004072490327835471
2 3,19,2,0.003868865811443698
4 5,19,2,0.003868865811443698
debit card,19,2,0.003868865811443698
forever 21,19,2,0.003868865811443698
left eye,19,2,0.003868865811443698
limited selection,19,2,0.003868865811443698
minute wait,19,2,0.003868865811443698
month ago,19,2,0.003868865811443698
nice selection,19,2,0.003868865811443698
super friendly,19,2,0.003868865811443698
1 hour,18,2,0.0036652412950519244
5 days,18,2,0.0036652412950519244
business days,18,2,0.0036652412950519244
buyer beware,18,2,0.0036652412950519244
customer service,849,4,0.11733001658374792
las vegas,273,4,0.037728026533996685
food court,262,4,0.03620784964068546
parking lot,240,4,0.03316749585406302
5 stars,238,4,0.03289110005527916
4 stars,231,4,0.031923714759535655
highly recommend,184,4,0.02542841348811498
friendly staff,155,4,0.021420674405749032
super friendly,133,4,0.01838032061912659
grocery store,128,4,0.017689331122166942
nthe store,116,4,0.016030956329463792
nice selection,111,4,0.015339966832504145
nthe staff,106,4,0.014648977335544499
huge selection,98,4,0.013543394140409067
pretty cool,93,4,0.01285240464344942
ice cream,92,4,0.01271420674405749
super nice,92,4,0.01271420674405749
home depot,88,4,0.012161415146489774
helpful staff,81,4,0.011194029850746268
shopping experience,76,4,0.010503040353786623
trader joe's,76,4,0.010503040353786623
10 minutes,74,4,0.010226644555002764
pleasantly surprised,74,4,0.010226644555002764
super helpful,73,4,0.010088446655610834
wide variety,66,4,0.00912106135986733
shopping center,65,4,0.008982863460475402
ni love,64,4,0.008844665561083471
5 star,63,4,0.008706467661691543
board games,63,4,0.008706467661691543
sales associate,63,4,0.008706467661691543
30 minutes,61,4,0.008430071862907684
extremely helpful,61,4,0.008430071862907684
15 minutes,60,4,0.008291873963515755
