"bigram","n","year","score","category"
"customer service",933,2015,1,"Active Life"
"front desk",506,2015,1,"Active Life"
"credit card",210,2015,1,"Active Life"
"la fitness",171,2015,1,"Active Life"
"10 minutes",159,2015,1,"Active Life"
"las vegas",159,2015,1,"Active Life"
"20 minutes",157,2015,1,"Active Life"
"personal training",137,2015,1,"Active Life"
"30 minutes",123,2015,1,"Active Life"
"parking lot",122,2015,1,"Active Life"
"2 hours",118,2015,1,"Active Life"
"circus circus",112,2015,1,"Active Life"
"birthday party",109,2015,1,"Active Life"
"15 minutes",105,2015,1,"Active Life"
"5 minutes",99,2015,1,"Active Life"
"24 hour",89,2015,1,"Active Life"
"3 times",89,2015,1,"Active Life"
"1 star",87,2015,1,"Active Life"
"poor customer",80,2015,1,"Active Life"
"45 minutes",75,2015,1,"Active Life"
"2 stars",71,2015,1,"Active Life"
"day pass",71,2015,1,"Active Life"
"months ago",70,2015,1,"Active Life"
"extremely rude",68,2015,1,"Active Life"
"planet fitness",68,2015,1,"Active Life"
"6 months",67,2015,1,"Active Life"
"bowling alley",66,2015,1,"Active Life"
"worst customer",65,2015,1,"Active Life"
"1 2",64,2015,1,"Active Life"
"3 months",63,2015,1,"Active Life"
"hour fitness",63,2015,1,"Active Life"
"2 months",62,2015,1,"Active Life"
"2 weeks",62,2015,1,"Active Life"
"phone call",62,2015,1,"Active Life"
"personal trainer",61,2015,1,"Active Life"
"worst experience",57,2015,1,"Active Life"
"5 stars",56,2015,1,"Active Life"
"horrible experience",56,2015,1,"Active Life"
"30 days",55,2015,1,"Active Life"
"1 hour",53,2015,1,"Active Life"
"dog park",52,2015,1,"Active Life"
"multiple times",51,2015,1,"Active Life"
"bad experience",50,2015,1,"Active Life"
"entire time",50,2015,1,"Active Life"
"weeks ago",49,2015,1,"Active Life"
"24 hours",48,2015,1,"Active Life"
"desk staff",47,2015,1,"Active Life"
"horrible service",47,2015,1,"Active Life"
"horrible customer",46,2015,1,"Active Life"
"hot yoga",46,2015,1,"Active Life"
"mini golf",46,2015,1,"Active Life"
"2 3",44,2015,1,"Active Life"
"40 minutes",44,2015,1,"Active Life"
"business practices",43,2015,1,"Active Life"
"terrible customer",43,2015,1,"Active Life"
"gym membership",42,2015,1,"Active Life"
"tee time",42,2015,1,"Active Life"
"3 days",41,2015,1,"Active Life"
"cell phone",41,2015,1,"Active Life"
"laser tag",41,2015,1,"Active Life"
"paper towels",41,2015,1,"Active Life"
"phone calls",41,2015,1,"Active Life"
"pro shop",41,2015,1,"Active Life"
"wave pool",41,2015,1,"Active Life"
"3 hours",40,2015,1,"Active Life"
"half hour",40,2015,1,"Active Life"
"resort fee",39,2015,1,"Active Life"
"bank account",38,2015,1,"Active Life"
"ice cream",38,2015,1,"Active Life"
"story short",38,2015,1,"Active Life"
"terrible experience",37,2015,1,"Active Life"
"training sessions",37,2015,1,"Active Life"
"water park",37,2015,1,"Active Life"
"3 weeks",36,2015,1,"Active Life"
"4 months",36,2015,1,"Active Life"
"annual fee",36,2015,1,"Active Life"
"hot water",36,2015,1,"Active Life"
"service fee",36,2015,1,"Active Life"
"30 min",35,2015,1,"Active Life"
"cancellation fee",35,2015,1,"Active Life"
"corporate office",35,2015,1,"Active Life"
"2 days",34,2015,1,"Active Life"
"30 day",34,2015,1,"Active Life"
"arcade games",34,2015,1,"Active Life"
"bike shop",34,2015,1,"Active Life"
"driving range",34,2015,1,"Active Life"
"yoga class",34,2015,1,"Active Life"
"yoga studio",34,2015,1,"Active Life"
"10 min",33,2015,1,"Active Life"
"2 hour",33,2015,1,"Active Life"
"bad service",33,2015,1,"Active Life"
"extremely disappointed",33,2015,1,"Active Life"
"lazy river",33,2015,1,"Active Life"
